index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
959,"['C++', 'C#']","['Web Development', 'Database Management', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Software engineering', 'Rapid prototyping', 'Collaboration with artists', 'Attention to detail']",3.0,mid
960,"['Python', 'Other']","['Software Development', 'Other']","['communication', 'interpersonal skills']",,not specified
961,[],[],"['proactive', 'self-motivated', 'creative thinking', 'critical thinking', 'troubleshooting', 'clear communication']",,not specified
962,"['C++', 'Other']","['Internet of Things (IoT)', 'Networking', 'Other']","['Problem-solving', 'Attention to detail', 'Communication', 'Documentation']",3.0,mid
963,['Java'],"['Web Development', 'Software Development']","['Leadership', 'Communication', 'Teamwork', 'Problem-solving', 'Adaptability', 'Time management', 'Initiative']",,senior
964,"['Python', 'Other']","['Software Development', 'Other']","['communication', 'interpersonal']",,not specified
965,"['C++', 'Other']",['Other'],['Passion for embedded software development'],,not specified
966,"['Swift', 'Other']","['Software Development', 'Database Management', 'Other']",['ability to work under tight schedules'],3.0,mid
967,[],['Other'],"['customer service', 'communication', 'troubleshooting', 'technical aptitude', 'multilingual']",,not specified
968,"['C++', 'Other']","['Software Development', 'Other']","['Creative thinking', 'Critical thinking', 'Troubleshooting', 'Collaboration', 'Communication', 'Professionalism']",,not specified
969,[],"['Software Development', 'Mobile Development', 'Other']","['problem solving', 'verbal and written communication', 'task management', 'teamwork', 'positive attitude']",,not specified
970,['Python'],"['DevOps', 'Software Development', 'Mobile Development', 'Other']","['Ability to plan and communicate priorities', 'Excellent communication', 'Creative thinking', 'Strong problem-solving', 'Meticulous attention to detail', 'Highly organized', 'Motivated', 'Passionate about achieving results']",2.0,mid
971,"['Swift', 'C++', 'Python', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Excellent communication skills', 'Experience with executive presentations', 'Excellent interpersonal skills']",,not specified
972,"['Perl', 'C++', 'Python', 'Other']",['Other'],[],5.0,senior
973,[],['Other'],"['Written and verbal communication', 'Flexibility', 'Time management', 'Attention to detail', 'Problem-solving']",,not specified
974,[],"['Machine Learning/Artificial Intelligence', 'Software Development', 'Other']","['Communication', 'Presentation', 'Interpersonal Skills', 'Leadership', 'Self-motivation', 'Creative Thinking', 'Critical Thinking', 'Flexibility']",,not specified
975,"['Perl', 'C++', 'Python', 'Other']",['Networking'],"['Analytical skills', 'Interpersonal skills', 'Communication skills', 'Multilingual', 'Ability to manage relationships', 'Adaptability to travel']",,not specified
976,"['JavaScript', 'Other']",['Web Development'],"['Synthesis', 'Communication', 'Collaboration']",,not specified
977,"['C++', 'Other']","['Other', 'Mobile Development']","['Ambitious', 'Analytical', 'Works well in large multi-functional environments']",,not specified
978,[],"['Software Development', 'Other']","['Communication', 'Leadership', 'Setting Expectations', 'Meeting Deadlines', 'Accountability']",8.0,senior
979,[],['Other'],"['Global Planning', 'Project Management', 'Multi-Channel Customer Service', 'Communication', 'Leadership', 'Expectation Setting', 'Deadline Management', 'Accountability']",8.0,senior
980,"['Python', 'Shell']","['DevOps', 'Software Development', 'Mobile Development', 'Other']","['Communication', 'Problem-solving', 'Creativity', 'Organization', 'Planning']",2.0,mid
981,"['R', 'Python', 'Perl', 'C++', 'Other']",['Other'],"['Problem solving', 'Self-motivation', 'Independence', 'Dedication', 'Communication', 'Teamwork']",,not specified
982,"['R', 'Python', 'Perl', 'C++', 'Other']",['Other'],"['Self-motivated', 'Independent', 'Dedicated', 'Excellent written and verbal communication skills', 'Experience in working with international teams']",,not specified
983,['Other'],"['Web Development', 'Software Development']","['Problem Solving', 'Critical Thinking', 'Communication']",,not specified
984,[],[],"['self-starter', 'initiative', 'self-motivated', 'team player', 'open minded', 'organized', 'multi-tasking', 'deal with difficult requests productively', 'adaptability to change', 'attention to detail', 'communication', 'risk management']",2.0,not specified
985,"['Python', 'Java']",['Other'],"['self-motivation', 'enthusiasm', 'creative thinking', 'critical thinking', 'analytical skills', 'troubleshooting', 'problem-solving', 'strong communication skills', 'interpersonal skills']",7.0,senior
986,[],"['Other', 'Mobile Development']","['Customer service', 'Independent work', 'Adaptability', 'Team collaboration', 'Time management', 'Research skills', 'Technical troubleshooting']",,not specified
987,"['C++', 'Other']","['Mobile Development', 'Software Development', 'Other']","['strong communication skills', 'ability to work closely with others']",8.0,senior
988,[],['Other'],['Strong written and verbal communication skills'],,not specified
989,"['C++', 'Other']","['Software Development', 'Mobile Development', 'Other']","['Written and verbal communication', 'Debugging', 'Resourcefulness', 'Self-starter', 'Independent work']",,mid
990,"['Python', 'Shell', 'Perl']","['Software Development', 'Other']",[],,not specified
991,"['PHP', 'Perl', 'Shell', 'Python', 'Other']","['Data Analytics', 'Database Management', 'Software Development', 'Web Development', 'Other']","['Excellent communication skills', 'Team player attitude', 'High attention to detail', 'Passion for software quality', 'Ability to coordinate with multiple users and management']",5.0,senior
992,"['Python', 'Scala', 'Java']","['Other', 'Cloud Computing', 'Software Development', 'DevOps']","['Self-starter', 'Collaboration', 'Problem-solving', 'Continuous Improvement', 'Adaptability', 'Team player']",,senior
993,[],[],"['Outstanding communication', 'Analytical skills', 'Effective negotiation', 'Problem-solving', 'Ability to build client relationships', 'Strong social skills', 'Sound judgment', 'Ability to juggle multiple projects', 'Collaborative work in cross-functional teams']",8.0,senior
994,"['Python', 'C++', 'Other']",['Other'],"['excellent judgment', 'integrity', 'ability to make timely and sound decisions', 'ability to stay focused', 'prioritization skills', 'upbeat and adaptable', 'results-oriented', 'positive attitude']",,not specified
995,"['Ruby', 'Python']","['Web Development', 'Software Development', 'Database Management', 'Other']","['analytical skills', 'problem solving', 'written communication', 'verbal communication']",,not specified
996,[],['Other'],"['Problem solving', 'Debugging', 'Effective communication', 'Interpersonal skills', 'Deadline driven']",8.0,senior
997,"['Python', 'Shell', 'Perl', 'C++']","['Data Analytics', 'Other']","['Strong communication', 'Problem solving', 'Self-starter', 'Innovation', 'Rigor', 'Healthy Paranoia']",,not specified
998,"['Python', 'C++']","['Data Analytics', 'Other']","['Automation', 'Plugin and API development', 'Asset conversion', 'Physically based rendering', 'Camera and lighting calibration', 'Material calibration']",5.0,senior
999,"['Python', 'C++', 'Other']","['Internet of Things (IoT)', 'Other']","['debug and analytical skills', 'communication skills', 'teamwork']",,not specified
1000,"['Python', 'C++']","['Software Development', 'Other']","['Leadership', 'Collaboration', 'Problem-solving']",,mid
1001,"['JavaScript', 'Swift', 'Other']","['Other', 'Mobile Development']","['organizational skills', 'time management', 'multitasking', 'communication', 'teamwork']",,not specified
1002,['C++'],"['Software Development', 'Other']","['Commitment to improvement', 'Attention to testing', 'Passion and dedication', 'Quality focus']",,not specified
1003,['Other'],['Other'],"['Strong communication', 'Teamwork', 'Collaboration', 'Mentoring']",,senior
1004,[],"['Networking', 'Other']","['Leadership', 'Communication', 'Documentation', 'Analytical skills', 'Collaboration', 'Presentation skills', 'Critical thinking', 'Innovation']",5.0,senior
1005,[],['Other'],"['relationship building', 'strategic conversations', 'project management', 'adaptability', 'collaboration', 'leading teams']",5.0,senior
1006,['Other'],"['Data Analytics', 'Software Development']","['Self-motivated', 'Enthusiastic', 'Creative thinking', 'Critical thinking', 'Curiosity', 'Collaboration', 'Attention to detail', 'Relationship building', 'Influence', 'Communication']",5.0,senior
1007,"['Python', 'Swift', 'Other', 'Java']","['Web Development', 'DevOps', 'Database Management', 'Other']","['Collaboration', 'Organizational skills', 'Communication skills', 'Ability to work in a fast-paced environment', 'Ambitious', 'Independent', 'Dedicated']",5.0,senior
1008,['Other'],"['Mobile Development', 'Other']","['Excellent communication and collaboration', 'Passion for product quality', 'Attention to detail', 'Comfortable with rapid development cycles']",,not specified
1009,[],"['Web Development', 'Data Analytics']","['Independent Work', 'Collaboration', 'Technical Decision-Making']",,not specified
1010,"['Java', 'Python', 'Shell', 'Perl', 'Ruby']",['Software Development'],"['Detail-oriented', 'Analytical', 'Methodical', 'Creative thinking', 'Organizational skills', 'Communication skills', 'Adaptability', 'Teamwork']",5.0,senior
1011,"['Perl', 'Other']",['Other'],"['Problem solving', 'Team collaboration']",,senior
1012,"['C++', 'Other']","['Software Development', 'Other']","['Strong communication skills', 'Ability to work across various groups']",5.0,senior
1013,"['C++', 'Other']","['Web Development', 'Software Development', 'Mobile Development']","['Communication', 'Organization', 'Attention to detail', 'Adaptability', 'Positive attitude']",6.0,senior
1014,"['Swift', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Software Development', 'Mobile Development']","['Analytical skills', 'Problem solving', 'Communication', 'Ability to learn new skills']",2.0,mid
1015,"['C++', 'Other']","['Web Development', 'Software Development', 'Other']","['Organizational skills', 'Operations management', 'Written and verbal communication', 'Judgment and integrity', 'Focus and prioritization', 'Adaptability', 'Results orientation']",,senior
1016,[],"['Web Development', 'Software Development']","['Clear communication', 'Innovation', 'Leadership', 'Attention to detail', 'Problem-solving', 'Independent learning']",,not specified
1017,['Other'],['Mobile Development'],"['Excellent communication', 'Collaborative skills', 'Ability to work with tight schedules', 'Problem-solving', 'Focus and prioritization', 'Adaptable', 'Results oriented', 'Passionate and dedicated']",5.0,senior
1018,[],[],"['Excellent communication', 'Analytical skills', 'Ability to distill complex issues', 'Effective negotiation', 'Collaboration', 'Good judgment', 'Strong social skills', 'Ability to work under pressure']",6.0,senior
1019,[],"['Human-Computer Interaction', 'Other']","['attention to detail', 'interpersonal skills', 'passion for working with people']",,not specified
1020,[],"['Machine Learning/Artificial Intelligence', 'Other']",['Software Engineering'],,not specified
1021,"['PHP', 'Perl', 'Shell', 'Python', 'Other']","['Data Analytics', 'Database Management', 'Software Development', 'Web Development', 'Other']","['Excellent communication skills', 'Team player attitude', 'High attention to detail', 'Ability to perform well on schedules', 'Coordination with multiple teams']",5.0,senior
1022,"['Python', 'C++', 'Java']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Other']","['hardworking', 'self-starter', 'project management', 'interpersonal skills']",,not specified
1023,"['Python', 'C++', 'Java']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Other']","['Hard working', 'Self-starter', 'Project management', 'Excellent communication']",,not specified
1024,"['C++', 'Other']","['Internet of Things (IoT)', 'Software Development', 'Other']","['software design', 'problem-solving', 'debugging', 'interpersonal communication']",3.0,not specified
1025,['Other'],['Other'],"['Excellent communication skills', 'Adaptability', 'Self-motivation', 'Creative thinking', 'Critical thinking']",,not specified
1026,"['Swift', 'C++', 'Other']",[],"['Designing user interfaces', 'Attention to detail', 'Software design', 'Development skills', 'Debugging skills']",,not specified
1027,"['JavaScript', 'TypeScript', 'Other']","['Web Development', 'Other']","['UI/UX design', 'Computer Science fundamentals', 'Full SW development lifecycle knowledge', 'Proven ability to develop and ship software']",4.0,mid
1028,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Motivating people', 'Instilling accountability', 'Achieving results', 'Building strong relationships', 'Strong communication']",,senior
1029,['Python'],['Machine Learning/Artificial Intelligence'],"['Communication', 'Presentation', 'Leadership', 'Problem-solving', 'Bilingual (Mandarin and English)']",,senior
1030,['Python'],"['Software Development', 'Other']","['Teamwork', 'Productivity under pressure', 'Communication skills', 'Self-motivation', 'Organization']",5.0,senior
1031,[],['Other'],"['Communication', 'Product Spokesperson', 'Strategic Partnerships', 'Product Messaging', 'Outbound Marketing']",,not specified
1032,[],"['Software Development', 'Other']","['Communication', 'Leadership', 'Expectation setting', 'Deadline management', 'Accountability', 'Multi-channel customer service and support']",8.0,senior
1033,"['Python', 'C++', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['problem solving', 'self-motivated', 'teamwork', 'passion']",,not specified
1034,"['Swift', 'C++']","['Software Development', 'Other']","['communication', 'collaboration', 'teamwork']",,not specified
1035,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['software development', 'software engineering infrastructure']",7.0,senior
1036,"['C++', 'Other']","['Mobile Development', 'Other']","['UI design', 'User-oriented', 'Attention to detail', 'Debugging', 'Problem-solving']",5.0,senior
1037,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']",['software development skills'],7.0,senior
1038,"['Python', 'Other']","['Networking', 'Other']","['product ownership', 'product development']",,not specified
1039,"['Python', 'Other']",['Other'],"['Excellent communication skills', 'Collaboration abilities']",,not specified
1040,"['Java', 'Python', 'Perl', 'C++', 'Other']","['Data Analytics', 'Software Development', 'Internet of Things (IoT)', 'Networking', 'Other']","['debugging system-level software', 'data analysis']",5.0,senior
1041,[],"['Networking', 'Other']","['Self-motivated', 'Leadership', 'Good written and verbal communication', 'Teamwork']",,not specified
1042,"['Python', 'C++']","['Software Development', 'Other']","['problem-solving', 'analytical skills']",,not specified
1043,"['Scala', 'Python', 'Java']","['Data Analytics', 'Database Management']","['Excellent social, written, and verbal communication skills', 'Confidence working independently', 'Making key decisions on projects']",,not specified
1044,['Python'],"['Mobile Development', 'Software Development', 'Networking', 'Other']","['Written and verbal communication', 'Task management', 'Prioritization']",,not specified
1045,['Other'],"['Software Development', 'Other']","['Communication', 'Teamwork', 'Time management', 'Problem-solving', 'Learning and development']",,not specified
1046,"['C++', 'Other']","['Mobile Development', 'Other']","['Strong communication', 'Ability to influence', 'Motivational skills', 'Accountability', 'Collaboration']",,not specified
1047,[],[],"['Innovative research methods', 'Partnering with teams', 'Organization', 'Prioritization', 'Attention to detail']",3.0,mid
1048,[],"['Software Development', 'Other']","['Highly motivated', 'Work independently', 'Unstructured environment', 'Excellent communication skills', 'Collaboration', 'Leadership']",15.0,senior
1049,"['Python', 'Other']","['Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Testing and Validation', 'Supportive Collaboration']",,mid
1050,"['Ruby', 'Python', 'Perl']","['Other', 'DevOps', 'Software Development', 'Mobile Development']","['problem solving', 'debugging', 'interpersonal skills', 'organization', 'creativity', 'motivation']",,not specified
1051,"['Python', 'C++']","['Machine Learning/Artificial Intelligence', 'Other']","['Team Collaboration', 'Problem Solving', 'Innovation']",,not specified
1052,[],"['Machine Learning/Artificial Intelligence', 'Software Development', 'Other']","['Communication', 'Presentation', 'Interpersonal', 'Leadership', 'Self-motivation', 'Creative Thinking', 'Critical Thinking', 'Adaptability']",5.0,senior
1053,[],"['Data Analytics', 'Other']","['Passion', 'Enthusiasm']",,not specified
1054,"['Python', 'C++', 'Perl']",['Other'],"['Communication', 'Mentoring', 'Training', 'Documentation', 'Debugging']",7.0,senior
1055,['Shell'],['Software Development'],"['Communication', 'Problem-solving', 'Attention to detail']",2.0,not specified
1056,['Java'],"['Cloud Computing', 'Software Development', 'Other']","['leadership', 'team motivation', 'goal setting', 'technical innovation', 'strategy focus']",,senior
1057,"['Python', 'C++', 'Other']",['Other'],"['problem solving', 'self-motivation', 'teamwork', 'passion']",,not specified
1058,[],"['Data Analytics', 'Software Development', 'Other']","['Communication', 'Leadership', 'Problem-Solving', 'Multi-Tasking', 'Adaptability', 'Project Planning', 'Risk Management', 'Complex Problem Solving', 'Dynamic Environment Adaptation']",7.0,senior
1059,"['C++', 'Other']","['Internet of Things (IoT)', 'Software Development', 'Other']",[],,mid
1060,"['C++', 'Other']","['Internet of Things (IoT)', 'Networking', 'Other']","['Self-motivated', 'Pro-active', 'Creative thinking', 'Critical thinking', 'Verbal interpersonal skills', 'Written interpersonal skills']",8.0,senior
1061,"['C++', 'Other']","['Internet of Things (IoT)', 'Mobile Development', 'Software Development', 'Other']","['Collaboration', 'Communication', 'Problem solving', 'Creativity', 'Passion for technology development']",,not specified
1062,[],[],"['Sound judgment', 'Strong interpersonal skills', 'Outstanding communication skills', 'Analytical skills', 'Ability to juggle multiple projects', 'Client relationship building', 'Collaboration', 'Motivation']",10.0,senior
1063,"['Swift', 'Other']",[],"['Team leadership', 'Communication', 'Collaboration', 'Troubleshooting', 'Attention to detail']",,senior
1064,[],"['Software Development', 'Other']","['Passion for products', 'Excellent written abilities', 'Excellent spoken abilities', 'Excellent presentation abilities']",,senior
1065,['C++'],"['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Problem solving', 'Critical thinking', 'Communication', 'Passion for learning']",,not specified
1066,[],['Other'],"['Excellent Social Skills', 'Interpersonal Skills', 'Strong Initiative', 'Ownership of Responsibilities']",7.0,senior
1067,"['JavaScript', 'Ruby', 'Other']","['Web Development', 'Software Development', 'Other']","['Self-starter', 'Critical thinking', 'Creativity', 'Strong verbal and written communication', 'Cross-functional collaboration']",,not specified
1068,"['Perl', 'Other']","['Internet of Things (IoT)', 'Other']","['Cross-team collaboration', 'Problem-solving', 'Debugging']",,senior
1069,[],"['Internet of Things (IoT)', 'Software Development']","['Excellent written and verbal interpersonal skills', 'Project management', 'Time management', 'Ability to work independently', 'Focused and responsible', 'Goal-oriented']",5.0,senior
1070,[],"['Other', 'Mobile Development']","['Customer service', 'Ownership of customer experience', 'Independent work', 'Positive attitude', 'Team collaboration', 'Time management', 'Multi-tasking', 'Organizing', 'Prioritizing', 'Researching technical information', 'Technical troubleshooting', 'Eagerness to learn']",,not specified
1071,"['C++', 'Other']","['Networking', 'Other']","['self-motivated', 'pro-active', 'creative thinking', 'critical thinking', 'verbal communication', 'written communication', 'interpersonal skills']",8.0,senior
1072,"['Java', 'Python', 'Shell', 'Perl', 'Ruby']","['DevOps', 'Software Development']","['Detail-oriented', 'Analytical thinking', 'Creative thinking', 'Effective communication', 'Organizational skills', 'Adaptability', 'Independent learning', 'Team collaboration']",7.0,senior
1073,"['Python', 'C++', 'Other']",['Other'],[],,not specified
1074,"['Swift', 'Other']","['Mobile Development', 'Software Development', 'Other']","['Communication', 'Collaboration', 'Time management']",5.0,senior
1075,[],[],"['Team Building', 'Motivation', 'Creative Thinking', 'Critical Thinking', 'Relationship Building', 'Influencing', 'Organizational Skills', 'Attention to Detail', 'Communication Skills', 'Information Filtering']",5.0,senior
1076,"['C++', 'Other']","['Web Development', 'Software Development', 'Networking']","['excellent judgment', 'integrity', 'focus', 'ability to prioritize', 'upbeat', 'adaptable', 'results oriented', 'positive attitude']",,not specified
1077,"['JavaScript', 'Ruby', 'Other']",['Other'],"['analytical skills', 'problem solving', 'interpersonal skills']",3.0,mid
1078,"['C++', 'Other']","['Software Development', 'Networking']","['communication', 'teamwork']",,not specified
1079,[],"['Networking', 'Other']","['Problem identification and resolution', 'Planning skills', 'Interpersonal skills', 'Self motivation', 'Communication skills', 'Presentation skills']",5.0,not specified
1080,"['C++', 'Other']","['Data Analytics', 'Other']",[],5.0,senior
1081,"['C++', 'Other']","['Software Development', 'Other']","['Creative thinker', 'Strong problem solver']",,not specified
1082,"['Swift', 'C++', 'Python', 'Other']","['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Excellent communication skills', 'Experience with executive presentations']",,not specified
1083,"['C++', 'Other']","['Web Development', 'Software Development', 'Mobile Development']","['Collaboration', 'Clear Communication', 'Project Management', 'Problem Solving', 'Customer Focus']",5.0,senior
1084,"['Swift', 'Java']","['Other', 'Software Development', 'Mobile Development']","['Analytical skills', 'Debugging skills', 'Cross-functional communication']",,not specified
1085,"['Swift', 'Other']","['DevOps', 'Software Development', 'Other']","['Interpersonal skills', 'Communication', 'Technical understanding']",3.0,mid
1086,"['JavaScript', 'Python']","['Cloud Computing', 'Mobile Development', 'Machine Learning/Artificial Intelligence', 'Other']","['Strong communication', 'Collaboration']",4.0,mid
1087,"['C++', 'Other']",['Other'],"['Excellent written and verbal communication', 'Motivated', 'Self-starter']",5.0,senior
1088,"['JavaScript', 'Python', 'Shell']",['Software Development'],"['Problem-solving', 'Bug triage', 'Report generation', 'Collaboration', 'Efficiency improvement']",,not specified
1089,[],['Other'],"['Design sense', 'Organization', 'Detail-oriented', 'Flexibility', 'Initiative', 'Communication', 'Collaboration', 'Narrative presentations', 'Storytelling', 'Passion for design', 'Curiosity', 'Time management']",,not specified
1090,['Other'],"['Data Analytics', 'DevOps', 'Software Development', 'Other']","['Problem-solving', 'Debugging', 'Strong communication']",,not specified
1091,"['JavaScript', 'Python', 'Swift', 'Ruby', 'C++', 'Other']","['Software Development', 'Other']","['Ability to communicate technical concepts to a non-technical audience', 'Ability to solve hard problems with creative and sustainable solutions', 'Detail oriented']",3.0,mid
1092,"['Perl', 'C++', 'Python', 'Other']","['Other', 'Networking', 'Cybersecurity']","['Analytical skills', 'Interpersonal skills', 'Communication skills', 'Multilingual', 'Travel flexibility']",,not specified
1093,"['Python', 'Shell']",['Other'],"['Motivated', 'Organised', 'Responsible', 'Accurate']",3.0,mid
1094,"['C++', 'Other']","['Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['analytical skills', 'problem-solving', 'communication', 'teamwork']",,not specified
1095,"['Java', 'Python', 'Shell', 'Perl', 'Ruby']","['DevOps', 'Other']","['Strong communication skills', 'Ability to work effectively across multiple teams', 'Ability to deliver solutions that are maintainable', 'Clear documentation skills']",,not specified
1096,"['C++', 'Java']","['Cloud Computing', 'Software Development', 'Other']","['Leadership', 'Team Management', 'Multi-functional Partnerships']",8.0,senior
1097,[],"['Data Analytics', 'Other']","['Technical Expertise', 'Hands-on Lab Experience']",,not specified
1098,"['Python', 'C++']","['DevOps', 'Software Development', 'Other']",[],3.0,mid
1099,"['Python', 'Other']",[],"['analytical skills', 'deductive skills', 'documentation skills', 'self-motivation', 'independence', 'teamwork', 'task management', 'prioritization', 'communication', 'collaboration']",3.0,mid
1100,"['Java', 'Python', 'Perl', 'Ruby', 'Go']","['Web Development', 'Cloud Computing', 'DevOps', 'Other']","['project management', 'presentation development', 'communication', 'cross-functional collaboration']",,not specified
1101,"['C++', 'Other']","['Software Development', 'Other']","['Problem Solving', 'Communication', 'Collaboration', 'Debugging', 'Vendor Interaction']",,not specified
1102,"['Swift', 'Other']","['Other', 'Software Development', 'Mobile Development']","['debugging', 'triage', 'analytical skills', 'communication', 'collaborative', 'adaptability']",,not specified
1103,"['Python', 'Shell', 'Perl', 'Other']","['Data Analytics', 'Software Development', 'Database Management', 'Other']","['Problem solving', 'Data visualization', 'Coordinating with multiple teams', 'Handling high support loads']",,senior
1104,"['C++', 'Other']","['Internet of Things (IoT)', 'Software Development', 'Other']",[],,not specified
1105,[],['Other'],"['Excellent social skills', 'Interpersonal skills', 'Strong initiative', 'Ownership of responsibilities', 'Productive']",7.0,senior
1106,[],['Other'],"['Creative thinking', 'Critical thinking', 'Leadership', 'Collaboration', 'Communication', 'Organizational skills', 'Multi-tasking', 'Information filtering and distillation']",10.0,senior
1107,['JavaScript'],['Web Development'],"['Analytical skills', 'Problem solving', 'Teamwork', 'Communication']",,not specified
1108,['Python'],"['DevOps', 'Software Development', 'Other']","['leadership', 'problem solving', 'debugging', 'verbal and written communication', 'outgoing and positive attitude']",6.0,senior
1109,"['C++', 'Other']","['Software Development', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['analytical skills', 'problem-solving', 'communication', 'team player']",3.0,mid
1110,['Other'],['Other'],"['Strong communication skills', 'Ability to work as a team']",3.0,mid
1111,['Other'],['Other'],"['Strong communication skills', 'Ability to work as a team']",3.0,not specified
1112,"['Python', 'C++', 'Other']","['Data Analytics', 'Machine Learning/Artificial Intelligence', 'Other']","['Innovative and critical thinker', 'Analytical skills', 'Curiosity', 'Collaboration', 'Communication', 'Presentation skills']",,not specified
1113,[],"['Machine Learning/Artificial Intelligence', 'Software Development', 'Other']",['technical communication'],,not specified
1114,"['Python', 'C++']","['Software Development', 'Other']","['ability to master new concepts', 'dedication to quality', 'innovation', 'scientific rigor', 'respect for privacy']",,not specified
1115,"['C++', 'Other']",['Machine Learning/Artificial Intelligence'],"['initiative', 'problem-solving', 'verbal communication', 'written communication']",5.0,senior
1116,['C++'],['Other'],"['problem solving', 'critical thinking', 'interpersonal skills', 'passion for learning']",,not specified
1117,['C++'],"['Software Development', 'Mobile Development', 'Other']","['Passion for building software', 'Innovative thinking']",,mid
1118,"['C++', 'Other']","['Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Creativity', 'Curiosity', 'Complex Problem Solving', 'Communication', 'Cross-functional Collaboration']",3.0,not specified
1119,[],"['Machine Learning/Artificial Intelligence', 'Other']",['Software Engineering'],,not specified
1120,"['Python', 'C++', 'Perl', 'Other']","['Data Analytics', 'Other']",[],5.0,senior
1121,"['Python', 'C++']","['Machine Learning/Artificial Intelligence', 'Other']","['creative thinking', 'critical thinking', 'independent thinking', 'troubleshooting', 'analytical skills', 'interpersonal skills']",,not specified
1122,['Other'],['Other'],"['Highly motivated', 'Organised', 'Responsible', 'Accurate']",3.0,mid
1123,[],['Other'],"['Exceptional organizational and management skills', 'Excellent interpersonal skills, both verbal and written']",5.0,senior
1124,[],[],"['Creative thinking', 'Problem solving', 'Excellent communication']",,not specified
1125,[],"['Other', 'Software Development', 'Mobile Development']","['bug detection and regression skills', 'ownership of application areas', 'communication skills', 'collaboration with global teams', 'attention to detail', 'analytical thinking', 'methodical and creative thinking']",7.0,senior
1126,[],"['Networking', 'Other']","['System-level design', 'Board development', 'System debugging', 'Electrical integration', 'Trade-off analysis']",,not specified
1127,"['Ruby', 'Perl', 'Go', 'Python']","['Data Analytics', 'DevOps', 'Database Management', 'Other']","['Problem solving', 'Creative thinking', 'Ownership', 'Customer service', 'Integrity', 'Clear communication', 'Self-motivation', 'Adaptability']",10.0,senior
1128,"['Python', 'Other']",['Other'],"['communication', 'presentation', 'independent research']",,not specified
1129,"['C++', 'Other']","['Software Development', 'Networking', 'Other']","['Leadership', 'Verbal Communication', 'Written Communication']",3.0,mid
1130,"['Python', 'Shell', 'Swift']","['Other', 'Software Development', 'Mobile Development']","['problem solving', 'deductive reasoning', 'creative thinking', 'passion for quality']",2.0,not specified
1131,['Python'],['Other'],['Performance analysis skills'],,not specified
1132,"['Ruby', 'Perl', 'Shell', 'Python']","['Data Analytics', 'DevOps', 'Cloud Computing', 'Software Development', 'Networking', 'Other']","['Analytical abilities', 'Customer service', 'Documentation skills', 'Independent work', 'Team collaboration']",5.0,senior
1133,['C++'],"['AR/VR (Augmented Reality/Virtual Reality)', 'Other']","['Problem solving', 'Debugging', 'Judgment and integrity', 'Focus and prioritization', 'Adaptability', 'Results oriented', 'Positive attitude']",,not specified
1134,"['C++', 'Other']","['Software Development', 'Other']","['creative', 'critical thinking', 'troubleshooting', 'professionalism', 'collaborative skills', 'ability to work under tight schedules']",,senior
1135,"['JavaScript', 'Python', 'Go']","['Web Development', 'DevOps', 'Software Development', 'Other']","['Excellent written and communication skills', 'Creative analytical skills']",,senior
1136,['Other'],['Data Analytics'],"['social communication', 'written communication', 'verbal communication', 'confidence', 'decision making']",,not specified
1137,[],"['Data Analytics', 'Machine Learning/Artificial Intelligence', 'AR/VR (Augmented Reality/Virtual Reality)']",[],,not specified
1138,"['Python', 'C++', 'Java']","['Data Analytics', 'Cloud Computing']","['Working independently', 'Collaboration', 'Delivering production infrastructure']",3.0,not specified
1139,"['Java', 'Python', 'Shell', 'Perl', 'Ruby']","['DevOps', 'Other']","['Strong communication', 'Documentation', 'Delivering solutions', 'Cross-team collaboration', 'Time management']",,not specified
1140,"['C++', 'Other']","['Web Development', 'Software Development', 'Other']","['Communication', 'Collaboration', 'Attention to detail', 'Project management']",2.0,mid
1141,"['JavaScript', 'Perl', 'Python', 'Go', 'Other']","['DevOps', 'Cloud Computing', 'Cybersecurity', 'Networking', 'Other']","['Communication', 'Compassion', 'Thoughtfulness']",5.0,senior
