index,programming_languages,tools_and_technologies,soft_skills,years_experience_min,experience_level
1049,"[""Matlab"", ""Python""]","[""Image Sensor Operation"", ""Image Quality Metrics"", ""Digital Image Processing"", ""CMOS Image Sensor Technology"", ""Camera Systems"", ""Imaging Algorithms"", ""Camera Bench Testing""]","[""Testing and Validation"", ""Supportive Collaboration""]",,mid
1050,"[""Python"", ""Perl"", ""Ruby""]","[""source code management"", ""iOS"", ""macOS"", ""UNIX"", ""command line operations"", ""configuration management"", ""git"", ""Operating System concepts"", ""compiler concepts""]","[""problem solving"", ""debugging"", ""interpersonal skills"", ""organization"", ""creativity"", ""motivation""]",,not specified
1051,"[""Python"", ""C++""]","[""Computer Vision"", ""Machine Learning"", ""Localization Algorithms""]","[""Team Collaboration"", ""Problem Solving"", ""Innovation""]",,not specified
1052,[],"[""Computer Vision"", ""Hardware"", ""Firmware"", ""Software Product Development""]","[""Communication"", ""Presentation"", ""Interpersonal"", ""Leadership"", ""Self-motivation"", ""Creative Thinking"", ""Critical Thinking"", ""Adaptability""]",5.0,senior
1053,[],"[""Alias"", ""Rhino"", ""Rendering"", ""Visualization"", ""2D Drawing"", ""Image Editing"", ""Manufacturing Software"", ""NX"", ""Solid Modeling CAD Programs""]","[""Passion"", ""Enthusiasm""]",,not specified
1054,"[""Python"", ""Perl"", ""C/C++""]","[""Schematic capture"", ""PCB layout"", ""Power and signal integrity simulation"", ""Analog measurement"", ""Test equipment setups""]","[""Communication"", ""Mentoring"", ""Training"", ""Documentation"", ""Debugging""]",7.0,senior
1055,"[""Unix shell scripting""]","[""Unix"", ""Software Development Lifecycle"", ""System Test""]","[""Communication"", ""Problem-solving"", ""Attention to detail""]",2.0,not specified
1056,"[""Java""]","[""distributed systems"", ""performance optimization"", ""scalability techniques"", ""architecture"", ""Java ecosystem""]","[""leadership"", ""team motivation"", ""goal setting"", ""technical innovation"", ""strategy focus""]",,senior
1057,"[""C++"", ""Matlab"", ""Python""]","[""imaging systems"", ""camera technology"", ""lens characterization"", ""calibration"", ""image processing"", ""camera module test"", ""depth sensing device"", ""optical device test""]","[""problem solving"", ""self-motivation"", ""teamwork"", ""passion""]",,not specified
1058,[],"[""Battery Management Unit"", ""Modeling"", ""Software"", ""Embedded Software"", ""Data Sets"", ""Test Tools"", ""Battery Charging Algorithms"", ""Low Power Devices""]","[""Communication"", ""Leadership"", ""Problem-Solving"", ""Multi-Tasking"", ""Adaptability"", ""Project Planning"", ""Risk Management"", ""Complex Problem Solving"", ""Dynamic Environment Adaptation""]",7.0,senior
1059,"[""C"", ""C++""]","[""low-level firmware"", ""system level runtimes"", ""device driver development"", ""embedded RTOS"", ""operating systems concepts"", ""digital hardware""]",[],,mid
1060,"[""C"", ""C++""]","[""3GPP/3GPP2"", ""GSM"", ""UMTS"", ""LTE-FDD"", ""LTE-TDD"", ""Networking Protocols"", ""POSIX"", ""Embedded Systems""]","[""Self-motivated"", ""Pro-active"", ""Creative thinking"", ""Critical thinking"", ""Verbal interpersonal skills"", ""Written interpersonal skills""]",8.0,senior
1061,"[""C"", ""C++""]","[""RF signal processing"", ""RF propagation and modeling"", ""Radar"", ""Sensor fusion"", ""Image processing"", ""Mobile phone antennas"", ""Oscillators"", ""iOS"", ""OS X"", ""Unix systems"", ""Software design paradigms""]","[""Collaboration"", ""Communication"", ""Problem solving"", ""Creativity"", ""Passion for technology development""]",,not specified
1062,[],[],"[""Sound judgment"", ""Strong interpersonal skills"", ""Outstanding communication skills"", ""Analytical skills"", ""Ability to juggle multiple projects"", ""Client relationship building"", ""Collaboration"", ""Motivation""]",10.0,senior
1063,"[""Objective C"", ""Swift""]",[],"[""Team leadership"", ""Communication"", ""Collaboration"", ""Troubleshooting"", ""Attention to detail""]",,senior
1064,[],"[""Software application"", ""Operating system"", ""Core technology"", ""Digital service""]","[""Passion for products"", ""Excellent written abilities"", ""Excellent spoken abilities"", ""Excellent presentation abilities""]",,senior
1065,"[""C++""]","[""Computer graphics"", ""GPU shaders"", ""Metal""]","[""Problem solving"", ""Critical thinking"", ""Communication"", ""Passion for learning""]",,not specified
1066,[],"[""Analog IC Design"", ""Analog Front End Design"", ""ADC and DAC Design"", ""High Speed I/O Design"", ""CMOS Processes"", ""Transistor Device Characteristics"", ""Mixed-Signal Design"", ""Analog IC Design Flow"", ""COT Design Flow""]","[""Excellent Social Skills"", ""Interpersonal Skills"", ""Strong Initiative"", ""Ownership of Responsibilities""]",7.0,senior
1067,"[""JavaScript"", ""HTML5"", ""CSS"", ""Ruby""]","[""Angular"", ""React"", ""Vue.js"", ""UNIX"", ""macOS"", ""Ruby on Rails""]","[""Self-starter"", ""Critical thinking"", ""Creativity"", ""Strong verbal and written communication"", ""Cross-functional collaboration""]",,not specified
1068,"[""C"", ""Perl"", ""Verilog""]","[""Pre-silicon tools"", ""Post-silicon tools"", ""HW and SW Interaction""]","[""Cross-team collaboration"", ""Problem-solving"", ""Debugging""]",,senior
1069,[],"[""Embedded software testing"", ""Test environment setup""]","[""Excellent written and verbal interpersonal skills"", ""Project management"", ""Time management"", ""Ability to work independently"", ""Focused and responsible"", ""Goal-oriented""]",5.0,senior
1070,[],"[""iOS"", ""smartphone"", ""tablet"", ""PC"", ""Mac""]","[""Customer service"", ""Ownership of customer experience"", ""Independent work"", ""Positive attitude"", ""Team collaboration"", ""Time management"", ""Multi-tasking"", ""Organizing"", ""Prioritizing"", ""Researching technical information"", ""Technical troubleshooting"", ""Eagerness to learn""]",,not specified
1071,"[""C"", ""C++""]","[""3GPP"", ""3GPP2"", ""GSM"", ""UMTS"", ""LTE-FDD"", ""LTE-TDD"", ""POSIX""]","[""self-motivated"", ""pro-active"", ""creative thinking"", ""critical thinking"", ""verbal communication"", ""written communication"", ""interpersonal skills""]",8.0,senior
1072,"[""Java"", ""Java EE"", ""Ruby"", ""Python"", ""Perl"", ""Bash""]","[""UNIX"", ""QA infrastructure"", ""Software development lifecycle"", ""Testing methodologies""]","[""Detail-oriented"", ""Analytical thinking"", ""Creative thinking"", ""Effective communication"", ""Organizational skills"", ""Adaptability"", ""Independent learning"", ""Team collaboration""]",7.0,senior
1073,"[""Python"", ""C"", ""C++""]","[""Linux""]",[],,not specified
1074,"[""Swift"", ""Objective-C""]","[""UIKit"", ""iOS SDK"", ""GCD"", ""NSOperation"", ""Xcode"", ""lldb"", ""Instruments""]","[""Communication"", ""Collaboration"", ""Time management""]",5.0,senior
1075,[],[],"[""Team Building"", ""Motivation"", ""Creative Thinking"", ""Critical Thinking"", ""Relationship Building"", ""Influencing"", ""Organizational Skills"", ""Attention to Detail"", ""Communication Skills"", ""Information Filtering""]",5.0,senior
1076,"[""C"", ""C++""]","[""multi-threaded programming"", ""networking protocols"", ""API design""]","[""excellent judgment"", ""integrity"", ""focus"", ""ability to prioritize"", ""upbeat"", ""adaptable"", ""results oriented"", ""positive attitude""]",,not specified
1077,"[""HTML"", ""CSS"", ""Javascript"", ""Ruby""]","[""Relational Databases"", ""Ruby on Rails""]","[""analytical skills"", ""problem solving"", ""interpersonal skills""]",3.0,mid
1078,"[""C"", ""C++""]","[""SW architecture and design"", ""cellular protocols (3G, LTE, 5G)""]","[""communication"", ""teamwork""]",,not specified
1079,[],"[""R&S CMW500"", ""Agilent 8960"", ""Anritsu tester"", ""Spectrum Analyzer"", ""Network Analyzer"", ""Signal generator"", ""Oscilloscope"", ""ADS"", ""HFSS"", ""CST""]","[""Problem identification and resolution"", ""Planning skills"", ""Interpersonal skills"", ""Self motivation"", ""Communication skills"", ""Presentation skills""]",5.0,not specified
1080,"[""C"", ""C++"", ""scripting""]","[""SoC architecture"", ""micro-architecture"", ""visualization technologies"", ""pixel pipelines"", ""DDR interface"", ""link interfaces"", ""LVDS"", ""DP"", ""eDP"", ""MIPI"", ""HDMI"", ""display timing controllers"", ""LCD"", ""OLED""]",[],5.0,senior
1081,"[""C"", ""Objective-C"", ""C++""]","[""UNIX systems"", ""operating system fundamentals""]","[""Creative thinker"", ""Strong problem solver""]",,not specified
1082,"[""Swift"", ""Objective-C"", ""C++"", ""Python"", ""MATLAB""]","[""Unity3D"", ""Unreal Engine"", ""Max"", ""Faust"", ""PureData"", ""AVAudioEngine"", ""Logic"", ""ProTools"", ""REAPER""]","[""Excellent communication skills"", ""Experience with executive presentations""]",,not specified
1083,"[""Objective-C"", ""C"", ""C++""]","[""Multithreaded Development"", ""API Design"", ""Embedded Mobile Platforms""]","[""Collaboration"", ""Clear Communication"", ""Project Management"", ""Problem Solving"", ""Customer Focus""]",5.0,senior
1084,"[""Swift"", ""Java""]","[""Cocoa"", ""HTTP"", ""XCTest"", ""UI Testing"", ""Xcode Server""]","[""Analytical skills"", ""Debugging skills"", ""Cross-functional communication""]",,not specified
1085,"[""Objective-C"", ""Swift""]","[""Xcode"", ""SVN"", ""GitHub"", ""Jenkins"", ""Agile"", ""Scrum"", ""Kanban""]","[""Interpersonal skills"", ""Communication"", ""Technical understanding""]",3.0,mid
1086,"[""Python"", ""JavaScript""]","[""Microservices"", ""Hybrid cloud architecture"", ""TensorFlow"", ""GPU programming"", ""Mobile development""]","[""Strong communication"", ""Collaboration""]",4.0,mid
1087,"[""C"", ""C++"", ""Objective-C""]","[""Core Audio APIs""]","[""Excellent written and verbal communication"", ""Motivated"", ""Self-starter""]",5.0,senior
1088,"[""Python"", ""JavaScript"", ""Bash""]","[""Scripting languages"", ""Automation workflows""]","[""Problem-solving"", ""Bug triage"", ""Report generation"", ""Collaboration"", ""Efficiency improvement""]",,not specified
1089,[],"[""Adobe Creative Suite"", ""Sketch"", ""iWork""]","[""Design sense"", ""Organization"", ""Detail-oriented"", ""Flexibility"", ""Initiative"", ""Communication"", ""Collaboration"", ""Narrative presentations"", ""Storytelling"", ""Passion for design"", ""Curiosity"", ""Time management""]",,not specified
1090,"[""SQL""]","[""Linux"", ""CMake"", ""Bazel"", ""Gradle"", ""Splunk"", ""JUnit"", ""Jasmine"", ""pyTest"", ""Git"", ""GitHub"", ""Jenkins"", ""TeamCity""]","[""Problem-solving"", ""Debugging"", ""Strong communication""]",,not specified
1091,"[""Python"", ""JavaScript"", ""Ruby"", ""Objective-C"", ""Swift"", ""C++""]","[""Unix"", ""Unix shell scripting"", ""SQA methodologies""]","[""Ability to communicate technical concepts to a non-technical audience"", ""Ability to solve hard problems with creative and sustainable solutions"", ""Detail oriented""]",3.0,mid
1092,"[""C"", ""C++"", ""Perl"", ""Python""]","[""LTE"", ""CA"", ""VoLTE"", ""IMS Core"", ""UMTS"", ""CDMA HSPA"", ""GSM"", ""TCP""]","[""Analytical skills"", ""Interpersonal skills"", ""Communication skills"", ""Multilingual"", ""Travel flexibility""]",,not specified
1093,"[""Python"", ""Bash""]","[""Power measurement tools"", ""Scope"", ""DVM"", ""Logic analyzer""]","[""Motivated"", ""Organised"", ""Responsible"", ""Accurate""]",3.0,mid
1094,"[""C"", ""C++""]","[""lldb"", ""gdb"", ""Metal"", ""OpenGL"", ""OpenCL"", ""Vulkan"", ""D3D""]","[""analytical skills"", ""problem-solving"", ""communication"", ""teamwork""]",,not specified
1095,"[""Python"", ""Perl"", ""Java"", ""bash"", ""Ruby""]","[""Puppet"", ""Chef"", ""Ansible"", ""Salt"", ""Nagios"", ""Sensu"", ""Zabbix"", ""graphite""]","[""Strong communication skills"", ""Ability to work effectively across multiple teams"", ""Ability to deliver solutions that are maintainable"", ""Clear documentation skills""]",,not specified
1096,"[""Java"", ""C++""]","[""Distributed Systems"", ""Backend Infrastructure"", ""Concurrent Programming"", ""Data Structures""]","[""Leadership"", ""Team Management"", ""Multi-functional Partnerships""]",8.0,senior
1097,[],"[""Analog Circuits"", ""Data Acquisition Test Equipment"", ""PCB Design"", ""IC Packaging and Layout"", ""X-ray"", ""CT"", ""TDR"", ""LIT"", ""SAT"", ""High Speed Oscilloscope"", ""Probe Stations"", ""Display Technology (LCD, OLED, Plasma, DLP, LCOS, e-paper)""]","[""Technical Expertise"", ""Hands-on Lab Experience""]",,not specified
1098,"[""Python"", ""C++""]","[""Jenkins"", ""build bot"", ""make"", ""SCons"", ""ant"", ""Xcode"", ""CMake""]",[],3.0,mid
1099,"[""MATLAB"", ""Python""]",[],"[""analytical skills"", ""deductive skills"", ""documentation skills"", ""self-motivation"", ""independence"", ""teamwork"", ""task management"", ""prioritization"", ""communication"", ""collaboration""]",3.0,mid
1100,"[""Python"", ""Java"", ""Ruby"", ""Perl"", ""Go""]","[""AWS"", ""GCP"", ""containerization"", ""REST APIs"", ""application and service monitoring tools""]","[""project management"", ""presentation development"", ""communication"", ""cross-functional collaboration""]",,not specified
1101,"[""SystemVerilog"", ""VHDL"", ""C++""]","[""RTL"", ""Emulation"", ""Hardware Acceleration"", ""Simulation Environments"", ""Waveform Capture""]","[""Problem Solving"", ""Communication"", ""Collaboration"", ""Debugging"", ""Vendor Interaction""]",,not specified
1102,"[""C"", ""Objective C"", ""Swift""]","[""iOS"", ""macOS"", ""UNIX"", ""asynchronous programming""]","[""debugging"", ""triage"", ""analytical skills"", ""communication"", ""collaborative"", ""adaptability""]",,not specified
1103,"[""Python"", ""Perl"", ""TCL"", ""Shell""]","[""GE"", ""LSF"", ""NC"", ""SQL"", ""Splunk"", ""Perforce"", ""GIT""]","[""Problem solving"", ""Data visualization"", ""Coordinating with multiple teams"", ""Handling high support loads""]",,senior
1104,"[""C"", ""C++""]","[""low-level firmware"", ""system level runtimes"", ""device driver development"", ""embedded RTOS"", ""operating systems concepts"", ""digital hardware""]",[],,not specified
1105,[],"[""Analog IC design"", ""ADC"", ""DAC"", ""SerDes"", ""DDR/LPDDR"", ""CMOS processes"", ""Transistor device characteristics"", ""Mixed-signal design"", ""Analog IC design flow"", ""COT design flow""]","[""Excellent social skills"", ""Interpersonal skills"", ""Strong initiative"", ""Ownership of responsibilities"", ""Productive""]",7.0,senior
1106,[],"[""Digital Video Signal Processing""]","[""Creative thinking"", ""Critical thinking"", ""Leadership"", ""Collaboration"", ""Communication"", ""Organizational skills"", ""Multi-tasking"", ""Information filtering and distillation""]",10.0,senior
1107,"[""JavaScript""]","[""Ember.js"", ""SproutCore"", ""Angular""]","[""Analytical skills"", ""Problem solving"", ""Teamwork"", ""Communication""]",,not specified
1108,"[""Python""]","[""automation"", ""regression testing"", ""E2E testing""]","[""leadership"", ""problem solving"", ""debugging"", ""verbal and written communication"", ""outgoing and positive attitude""]",6.0,senior
1109,"[""C"", ""C++""]","[""lldb"", ""gdb"", ""Metal"", ""OpenGL"", ""OpenCL"", ""Vulkan"", ""D3D""]","[""analytical skills"", ""problem-solving"", ""communication"", ""team player""]",3.0,mid
1110,"[""C"", ""Assembly""]","[""multi-meter units"", ""oscilloscopes""]","[""Strong communication skills"", ""Ability to work as a team""]",3.0,mid
1111,"[""C"", ""Assembly""]","[""Multi-meter units"", ""Oscilloscopes""]","[""Strong communication skills"", ""Ability to work as a team""]",3.0,not specified
1112,"[""C/C++"", ""Python"", ""Matlab""]","[""Statistical Methods"", ""Signal Processing"", ""Machine Learning"", ""Probability"", ""Statistics"", ""Dataset Visualization""]","[""Innovative and critical thinker"", ""Analytical skills"", ""Curiosity"", ""Collaboration"", ""Communication"", ""Presentation skills""]",,not specified
1113,[],"[""signal processing"", ""grey-box modeling"", ""black-box modeling"", ""experimental design"", ""model uncertainty"", ""algorithm design"", ""physics"", ""mechanical engineering"", ""electrical engineering"", ""material science engineering""]","[""technical communication""]",,not specified
1114,"[""C++"", ""Python""]","[""abstraction"", ""modularity"", ""performance analysis"", ""performance tuning""]","[""ability to master new concepts"", ""dedication to quality"", ""innovation"", ""scientific rigor"", ""respect for privacy""]",,not specified
1115,"[""Matlab"", ""C"", ""C++""]","[""computational photography"", ""computer vision"", ""imaging algorithms"", ""vision algorithms""]","[""initiative"", ""problem-solving"", ""verbal communication"", ""written communication""]",5.0,senior
1116,"[""C++""]","[""GPU shaders"", ""Metal""]","[""problem solving"", ""critical thinking"", ""interpersonal skills"", ""passion for learning""]",,not specified
1117,"[""C++""]","[""Dynamic linkers"", ""Dynamic libraries"", ""Source control systems"", ""Git"", ""Subversion"", ""UNIX"", ""macOS"", ""iOS"", ""Mach-O file format""]","[""Passion for building software"", ""Innovative thinking""]",,mid
1118,"[""C"", ""C++""]","[""Computer Vision"", ""Object Detection"", ""Tracking"", ""Scene Understanding"", ""3D Reconstruction"", ""Motion Estimation"", ""3D Geometry"", ""Non-linear Optimization""]","[""Creativity"", ""Curiosity"", ""Complex Problem Solving"", ""Communication"", ""Cross-functional Collaboration""]",3.0,not specified
1119,[],"[""Machine Learning"", ""Conversational Dialogue Systems"", ""Large-Scale Machine Learned Systems"", ""Reinforcement Learning""]","[""Software Engineering""]",,not specified
1120,"[""C"", ""C++"", ""Python"", ""Perl"", ""Lua""]","[""SoC architecture"", ""micro-architecture"", ""visualization technologies"", ""pixel pipelines"", ""DDR interfaces"", ""LVDS"", ""DP"", ""eDP"", ""MIPI"", ""HDMI"", ""display timing controllers"", ""LCD"", ""OLED""]",[],5.0,senior
1121,"[""C++"", ""Python""]","[""robotic task and motion planning"", ""MDPs"", ""POMDPs"", ""Dijkstra\u2019s"", ""A*"", ""graph search methods"", ""algorithm and data structures""]","[""creative thinking"", ""critical thinking"", ""independent thinking"", ""troubleshooting"", ""analytical skills"", ""interpersonal skills""]",,not specified
1122,"[""Scripting Languages""]","[""ASIC"", ""Chip Debugging"", ""Board Level Debugging"", ""Oscilloscope"", ""Digital Voltmeter (DVM)"", ""Logic Analyzer"", ""Lab Equipment""]","[""Highly motivated"", ""Organised"", ""Responsible"", ""Accurate""]",3.0,mid
1123,[],"[""21 CFR 820"", ""ISO-13485"", ""Electronic systems in regulated environment""]","[""Exceptional organizational and management skills"", ""Excellent interpersonal skills, both verbal and written""]",5.0,senior
1124,[],[],"[""Creative thinking"", ""Problem solving"", ""Excellent communication""]",,not specified
1125,[],"[""iOS testing"", ""Charles Proxy"", ""Client/Server Architecture""]","[""bug detection and regression skills"", ""ownership of application areas"", ""communication skills"", ""collaboration with global teams"", ""attention to detail"", ""analytical thinking"", ""methodical and creative thinking""]",7.0,senior
1126,[],"[""MATLAB"", ""SPICE"", ""PCB"", ""SIP"", ""Flex""]","[""System-level design"", ""Board development"", ""System debugging"", ""Electrical integration"", ""Trade-off analysis""]",,not specified
1127,"[""Perl"", ""Python"", ""Ruby"", ""Golang""]","[""Nagios"", ""Sensu"", ""Prometheus"", ""Elasticsearch"", ""Splunk"", ""Configuration Management"", ""Orchestration Tools""]","[""Problem solving"", ""Creative thinking"", ""Ownership"", ""Customer service"", ""Integrity"", ""Clear communication"", ""Self-motivation"", ""Adaptability""]",10.0,senior
1128,"[""Matlab"", ""Python""]","[""ANSYS"", ""ABAQUS"", ""Hypermesh"", ""numerical simulation software"", ""data acquisition systems""]","[""communication"", ""presentation"", ""independent research""]",,not specified
1129,"[""C"", ""C++""]","[""Embedded Systems"", ""TCP/IP"", ""Ethernet"", ""Wireless Protocols"", ""Multi-threading"", ""Asynchronous Programming""]","[""Leadership"", ""Verbal Communication"", ""Written Communication""]",3.0,mid
1130,"[""Bash"", ""Python"", ""Swift""]","[""iOS"", ""macOS"", ""UNIX-based systems"", ""command-line tools""]","[""problem solving"", ""deductive reasoning"", ""creative thinking"", ""passion for quality""]",2.0,not specified
1131,"[""Python""]","[""Instruments"", ""DTrace""]","[""Performance analysis skills""]",,not specified
1132,"[""bash"", ""perl"", ""ruby"", ""python""]","[""Linux"", ""RHEL"", ""Networking"", ""LDAP"", ""NFS"", ""VMWare"", ""Puppet"", ""Kickstart"", ""NetBoot"", ""DHCP"", ""DNS"", ""Nagios"", ""Splunk"", ""Git"", ""Perforce"", ""SVN"", ""SGE"", ""LSF"", ""Slurm""]","[""Analytical abilities"", ""Customer service"", ""Documentation skills"", ""Independent work"", ""Team collaboration""]",5.0,senior
1133,"[""C/C++""]","[""OpenGL"", ""Vulkan"", ""Metal"", ""GPU programming APIs""]","[""Problem solving"", ""Debugging"", ""Judgment and integrity"", ""Focus and prioritization"", ""Adaptability"", ""Results oriented"", ""Positive attitude""]",,not specified
1134,"[""C"", ""C++""]","[""ARM assembly"", ""hardware platforms"", ""processor architectures"", ""hardware and processor simulation"", ""boot-loaders"", ""device drivers"", ""JTAG"", ""debuggers""]","[""creative"", ""critical thinking"", ""troubleshooting"", ""professionalism"", ""collaborative skills"", ""ability to work under tight schedules""]",,senior
1135,"[""JavaScript"", ""ES6+"", ""Python"", ""Golang"", ""NodeJS""]","[""React"", ""Redux"", ""CSS Preprocessors"", ""D3"", ""SVG"", ""Three.js"", ""Version Control"", ""Continuous Integration & Deployment"", ""Unix"", ""DevOps"", ""Automation""]","[""Excellent written and communication skills"", ""Creative analytical skills""]",,senior
1136,"[""SQL""]","[""Spark"", ""Hive""]","[""social communication"", ""written communication"", ""verbal communication"", ""confidence"", ""decision making""]",,not specified
1137,[],"[""handwriting recognition"", ""gesture recognition"", ""deep learning"", ""machine learning"", ""big data""]",[],,not specified
1138,"[""Python"", ""Java"", ""C++""]","[""Distributed computing"", ""Clustering architectures"", ""Hadoop"", ""MapReduce""]","[""Working independently"", ""Collaboration"", ""Delivering production infrastructure""]",3.0,not specified
1139,"[""Python"", ""Perl"", ""Java"", ""bash"", ""Ruby""]","[""Puppet"", ""Chef"", ""Ansible"", ""Salt"", ""Nagios"", ""Sensu"", ""Zabbix"", ""Graphite"", ""DevOps""]","[""Strong communication"", ""Documentation"", ""Delivering solutions"", ""Cross-team collaboration"", ""Time management""]",,not specified
1140,"[""C"", ""C++"", ""Objective-C""]","[""Multi-threaded programming"", ""Synchronization"", ""API design"", ""System design""]","[""Communication"", ""Collaboration"", ""Attention to detail"", ""Project management""]",2.0,mid
1141,"[""Go"", ""Python"", ""Perl"", ""SQL"", ""Javascript""]","[""HTTP"", ""SSL"", ""DNS"", ""GSLB"", ""Puppet"", ""Chef"", ""Ansible"", ""Salt"", ""DevOps"", ""Site Reliability Engineering"", ""Distributed Systems""]","[""Communication"", ""Compassion"", ""Thoughtfulness""]",5.0,senior
1142,"[""Perl"", ""Python"", ""Shell"", ""JavaScript"", ""Ruby""]","[""Mobile Device Testing"", ""Cellular Technologies"", ""LTE"", ""UMTS"", ""CDMA"", ""SQA Methodologies"", ""Functional Area Leadership"", ""OS Concepts"", ""UNIX"", ""Linux"", ""Mac OS X""]","[""Ability to develop test cases"", ""Work under tight schedule"", ""Cross-functional teamwork"", ""Problem-solving"", ""Independent work"", ""Attention to detail""]",2.0,mid
1143,[],"[""Agile Project Management""]","[""interpersonal skills"", ""communication"", ""organizational skills"", ""leadership"", ""flexibility"", ""team inspiration"", ""self-motivation"", ""creative thinking"", ""critical thinking""]",3.0,mid
1144,"[""Python""]","[""SQL"", ""big data systems""]","[""Analytical thinking"", ""Business requirement elicitation"", ""Social skills"", ""Communication skills"", ""Creativity"", ""Inquisitiveness"", ""Independence"", ""Decision-making""]",,not specified
1145,[],"[""Search Engine Optimization""]","[""Accountability"", ""Responsibility"", ""Self-motivation"", ""Focus"", ""Self-sufficiency"", ""Communication"", ""Presentation"", ""Facilitation""]",,not specified
1146,"[""Python"", ""C"", ""C++""]","[""Linux""]",[],,not specified
1147,"[""C"", ""C++"", ""Objective-C"", ""Swift""]","[""UNIX OS""]","[""Analytical skills"", ""Problem-solving skills"", ""Ability to learn new technologies quickly""]",,not specified
1148,"[""C"", ""C++"", ""Objective-C""]","[""Asynchronous/multithreaded programming"", ""Media playback systems"", ""Debugging"", ""Logging for diagnostics"", ""Collaborative tools""]","[""Excellent communication and collaborative skills"", ""Judgment and integrity"", ""Ability to prioritize workload"", ""Upbeat and adaptable"", ""Strong attention to detail"", ""Ability to work under tight schedules""]",5.0,senior
1149,"[""JavaScript"", ""HTML"", ""CSS""]","[""Angular"", ""React"", ""RESTful APIs"", ""Web Services"", ""HTTPS"", ""JSON""]","[""Clear expression of ideas"", ""Strong debugging and diagnostic skills"", ""Excellent communication in English"", ""Ability to learn new technologies independently""]",8.0,senior
1150,"[""C++"", ""Objective C"", ""Metal"", ""CUDA"", ""OpenGL"", ""OpenCL""]","[""SoC SW design"", ""version control"", ""continuous integration""]","[""communication"", ""multi-functional teamwork""]",,not specified
1151,"[""Swift"", ""Objective-C""]","[""AppKit"", ""Layout""]","[""Research skills"", ""Integrating ideas from different domains"", ""UI design""]",,not specified
1152,"[""Ruby"", ""JavaScript"", ""Python""]","[""software development lifecycle"", ""test methodologies"", ""test frameworks"", ""test strategies""]","[""problem-solving"", ""adaptability"", ""communication"", ""interpersonal skills""]",,not specified
1153,[],"[""NLP models"", ""machine learning""]","[""software engineering skills""]",,not specified
1154,[],"[""Lenel Onguard"", ""Milestone VMS"", ""VidSys"", ""RFID"", ""Card readers"", ""Video analytics"", ""Iris scanner"", ""Biometric verification systems"", ""Microsoft Windows servers""]","[""Data-driven decision making"", ""Cross-functional collaboration"", ""Availability for after-hours support""]",10.0,senior
1155,"[""C"", ""C++"", ""Java""]","[""Python"", ""Tcl"", ""Perl"", ""Android"", ""Linux"", ""SPI"", ""I2C"", ""MIPI Bluetooth"", ""UART"", ""Ethernet"", ""USB"", ""ZigBee""]","[""System-level debugging"", ""GUI development"", ""SW tools development""]",5.0,senior
1156,[],"[""Agile development"", ""Server-based software architecture""]","[""Extraordinary social communication skills"", ""Creating and communicating project requirements"", ""Productive in multi-functional teams"", ""Motivating change"", ""Viewing challenge as a motivator"", ""Thinking differently""]",5.0,senior
1157,"[""Matlab""]","[""Cadence"", ""SPICE"", ""Ansoft""]","[""Data analysis"", ""Debugging"", ""Schematic entry"", ""PCB layout guidance"", ""Simulation""]",,not specified
1158,"[""Python""]","[""macOS"", ""Mac hardware"", ""shell scripting"", ""automation"", ""regression testing""]","[""Excellent verbal and written communications"", ""Leadership"", ""Problem solving"", ""Debugging"", ""Positive attitude""]",4.0,senior
1159,"[""Matlab""]","[""JMP"", ""Excel"", ""Electronic Tests"", ""Optical Characterization Equipment""]","[""Communication"", ""Collaboration"", ""Willingness to Travel"", ""Teamwork""]",,not specified
1160,"[""C"", ""C++""]","[""firmware development"", ""boot loaders"", ""UEFI firmware (EDK/EDKII)"", ""Mac OS X"", ""Unix"", ""Linux"", ""Windows"", ""display stack"", ""video formats"", ""backlight"", ""HW bringup"", ""pre-silicon validation platforms""]","[""creative thinking"", ""critical thinking"", ""troubleshooting"", ""cross-functional teamwork"", ""independent work""]",,senior
1161,"[""Python""]","[""Machine Learning"", ""Deep Learning"", ""Computer Vision"", ""Turi Create"", ""Pandas"", ""Scikit-learn"", ""XGboost"", ""Torch"", ""Keras"", ""TensorFlow"", ""Caffe""]","[""Ability to explain and present analyses"", ""Creative"", ""Collaborative"", ""Product focused""]",2.0,not specified
1162,"[""C++""]","[""GPS / GNSS"", ""Kalman filtering"", ""Statistics"", ""Inertial navigation systems"", ""Object-oriented programming"", ""Linux""]","[""Team collaboration"", ""Eagerness to learn"", ""Experimentation"", ""Complex problem-solving""]",,mid
1163,[],[],"[""Leadership"", ""Communication"", ""Organizational"", ""Self-motivation"", ""Creative thinking"", ""Critical thinking"", ""Flexibility"", ""Calmness under pressure""]",5.0,senior
1164,"[""Objective-C"", ""C"", ""C++""]","[""Multi-threaded programming"", ""Synchronization"", ""Multi-process IPC"", ""Systems programming"", ""API development""]","[""Communication"", ""Collaboration"", ""Attention to detail"", ""Project management""]",5.0,senior
1165,"[""C"", ""C++""]","[""embedded audio platforms"", ""programmable DSPs"", ""audio hardware prototyping""]",[],5.0,senior
1166,"[""C"", ""C++""]","[""SW architecture and design development cycles"", ""Cellular protocols (3G, LTE, 5G)""]","[""Excellent communication"", ""Team work""]",,not specified
