id,location,programming_languages,tools_and_technologies,years_experience_min,experience_level
803,North America,"C++, Other","Software Development, Other",,not specified
804,North America,"Perl, Python, Ruby, C++, Other","Web Development, Cybersecurity, Software Development, Other",5,senior
805,North America,"JavaScript, Java","Data Analytics, Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
806,North America,,Software Development,5,senior
807,Europe,Python,Other,,mid
808,North America,"C++, Other",Other,3,mid
809,North America,"Python, Java","Data Analytics, DevOps, Database Management, Mobile Development, Software Development, Other",4,senior
810,North America,"C++, Other","Internet of Things (IoT), Other",3,mid
811,North America,"Python, C++, Java, Other","Machine Learning/Artificial Intelligence, Networking, Other",5,senior
812,North America,"JavaScript, Python, Shell, Ruby, C++, Other","DevOps, Software Development, Other",,not specified
813,North America,"JavaScript, Python, Swift, Ruby, C++, Other",Software Development,,not specified
814,North America,"Python, C++, Swift, Other","Machine Learning/Artificial Intelligence, Software Development",,not specified
815,North America,Other,"DevOps, Software Development",,not specified
816,North America,,Other,5,senior
817,North America,,"Software Development, Other",,mid
818,North America,"Python, Shell","DevOps, Software Development, Other",3,mid
819,North America,Other,"Software Development, Other",,not specified
820,North America,Other,"Software Development, Other",,not specified
821,Asia,"JavaScript, Other","Database Management, Cloud Computing, Software Development, Web Development, Other",8,senior
822,North America,"C++, Other","Software Development, Other",,not specified
823,North America,Python,"Web Development, Machine Learning/Artificial Intelligence, Software Development",,not specified
824,North America,Other,"Web Development, Cybersecurity, Other",,not specified
825,North America,"Python, Shell, Perl, C++, Other","DevOps, Software Development, Other",,not specified
826,North America,,"DevOps, Software Development, Other",7,senior
827,North America,"Swift, C++, Java, Other","Other, Cloud Computing, Software Development, Mobile Development",,not specified
828,North America,Other,Other,5,senior
829,Asia,,Other,5,senior
830,North America,,Software Development,,not specified
831,North America,"Python, C++, Other","Software Development, Other",,not specified
832,North America,C++,"Cloud Computing, Software Development, Other",,mid
833,North America,,"Software Development, Other",4,not specified
834,North America,"C++, Other","Software Development, Other",,not specified
835,North America,Python,"Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
836,North America,"Python, Java","Data Analytics, Software Development, Database Management, Other",,not specified
837,North America,"C++, Other",Other,,not specified
838,North America,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
839,North America,,"Blockchain, Other",,not specified
840,North America,,"Web Development, Other",6,senior
841,North America,"Ruby, Python, Shell, Go","DevOps, Other",,senior
842,North America,"Python, Shell, Other","Data Analytics, DevOps, Cloud Computing, Software Development, Other",,senior
843,North America,,"Machine Learning/Artificial Intelligence, Other",5,senior
844,North America,"C++, Other","Mobile Development, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",6,senior
845,North America,,,,not specified
846,North America,"PHP, Java, Swift, Python, Perl, Shell, Ruby, C++, Other","Web Development, Other, Cloud Computing, Cybersecurity",10,senior
847,North America,"Java, Python, Perl, Ruby, Go","Cloud Computing, DevOps, Software Development, Other",5,senior
848,North America,"C++, Other","Software Development, Other",,senior
849,Europe,"Python, Other","Other, Software Development, Cybersecurity",,not specified
850,Europe,"Python, C++",Other,,not specified
851,North America,"JavaScript, Java","Web Development, Software Development, Database Management, Other",5,senior
852,Europe,Other,"Cybersecurity, Software Development, Other",,not specified
853,North America,,"Internet of Things (IoT), Software Development, Other",,not specified
854,North America,C++,Other,5,senior
855,Asia,Python,"Software Development, Networking, Other",7,senior
856,Asia,"Java, Swift, Python, C++, Other","Networking, Other",2,mid
857,North America,"C++, Other","Software Development, Mobile Development, Other",,not specified
858,North America,Python,"DevOps, Software Development",,senior
859,Europe,,"DevOps, Software Development",3,mid
860,Europe,"Python, C++, Go, Java","Data Analytics, Software Development, Other",,not specified
861,North America,"Perl, Shell, Python, C++, Other","Software Development, Other",,mid
862,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
863,North America,"Ruby, Python, JavaScript, Other","Other, Cybersecurity",,not specified
864,North America,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
865,North America,"JavaScript, Python, Java, Other","Web Development, DevOps, Software Development, Other",4,mid
866,North America,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, O",,senior
867,North America,"JavaScript, Python, Go","Data Analytics, Database Management, Software Development, Web Development, Other",,senior
868,North America,Shell,"Cloud Computing, DevOps, Other",5,senior
869,North America,"Perl, Shell, Python, C++, Other",Other,,not specified
870,North America,"Python, C++","Data Analytics, Machine Learning/Artificial Intelligence, Other",3,mid
871,North America,C++,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
872,North America,,"Web Development, Other",4,senior
873,Asia,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, O",,senior
874,North America,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development",,senior
875,North America,"Python, Swift, C++, Other","Software Development, Other",,not specified
876,North America,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
877,North America,"C++, Java","Web Development, Data Analytics, Software Development, Other",,not specified
878,North America,"C++, Java","Web Development, Data Analytics, Software Development, Other",,senior
879,North America,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
880,North America,"JavaScript, Java, PHP, Other","Web Development, Other",3,mid
881,North America,Shell,"Cloud Computing, DevOps, Other",5,mid
882,North America,,"Data Analytics, Other",,not specified
883,North America,"Python, C++, Other","Software Development, Other",,not specified
884,North America,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",5,senior
885,North America,"C++, Other","Software Development, Other",,not specified
886,North America,"Python, C++, Perl, Java","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",5,senior
887,Asia,,"Data Analytics, Other",,not specified
888,North America,"Java, Perl, Shell, Python, C++","Web Development, Other, Software Development, Mobile Development",5,senior
889,North America,Other,"Software Development, Other",,not specified
890,North America,"Python, Shell, Perl, C++","DevOps, Software Development, Networking, Other",,senior
891,North America,,Networking,,senior
892,North America,"Python, C++, Java","Data Analytics, Other",3,not specified
893,North America,"C++, Other","Software Development, Other",3,not specified
894,North America,"JavaScript, Other","Web Development, Other",,not specified
895,North America,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
896,North America,"C++, Other","Internet of Things (IoT), Cybersecurity, Other",,senior
897,North America,"Swift, C++, Other","Web Development, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",5,senior
898,North America,"JavaScript, Python, Ruby, C++, Other","DevOps, Software Development, Networking",,not specified
899,North America,,Software Development,5,senior
900,North America,"C++, Other","Software Development, Other",,not specified
901,North America,"Python, C++, Other","Software Development, Other",,not specified
902,North America,"Perl, Python, Ruby, C++, Other","Software Development, Other",5,senior
903,North America,"Swift, C++, Python, Other",Other,,not specified
904,North America,,,5,senior
905,North America,,"Cloud Computing, Database Management, Other",5,senior
906,North America,"C++, Other","Internet of Things (IoT), Other, Software Development, Cybersecurity",,senior
907,North America,"C++, Other","Software Development, Other",,not specified
908,North America,"JavaScript, Python","Web Development, DevOps, Software Development, Other",3,mid
909,North America,"Python, Java","Database Management, Software Development, Networking, Other",,not specified
910,North America,,"Mobile Development, Software Development, Human-Computer Interaction, Networking, Other",3,senior
911,North America,"Python, C++, Other","Software Development, Other",5,senior
912,North America,,,,not specified
913,North America,"C++, Other","Cybersecurity, Other",3,not specified
914,Asia,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",3,not specified
915,North America,,Other,5,senior
916,North America,,Networking,5,senior
917,North America,,"Networking, Other",,not specified
918,Asia,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,not specified
919,Asia,"Python, Perl, Other, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
920,Asia,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",3,not specified
921,North America,"Swift, Other","Other, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",,not specified
922,North America,,"Software Development, Other",,senior
923,North America,,"Software Development, Mobile Development",8,senior
924,North America,Python,"Software Development, Other",,not specified
925,North America,,"Human-Computer Interaction, Software Development",,senior
926,North America,"C++, Other","Software Development, Other",,senior
927,Asia,"Perl, C++, Python, Other",Other,,not specified
928,North America,,"Networking, Other",,not specified
929,North America,Other,"Software Development, Other",,senior
930,North America,,Networking,,senior
931,North America,C++,Other,,not specified
932,Asia,"Perl, Python","Networking, Other",8,senior
933,North America,,,,not specified
934,North America,"C++, Other","Software Development, Other",3,mid
935,North America,Other,Software Development,3,mid
936,North America,"Swift, Other","Software Development, Other",2,senior
937,North America,"Java, Perl, Shell, Python, C++","Web Development, Other, Software Development, Mobile Development",2,mid
938,North America,"Swift, Other","Human-Computer Interaction, Other, Mobile Development",,not specified
939,North America,"Scala, Java","Data Analytics, Database Management, Other",,not specified
940,North America,"JavaScript, Python","Software Development, Other",3,mid
941,North America,"Swift, Shell, Python, Other","DevOps, Software Development",2,mid
942,North America,Other,Networking,,senior
943,Europe,,Machine Learning/Artificial Intelligence,,not specified
944,Asia,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
945,North America,Other,"Software Development, Mobile Development",,not specified
946,North America,"Swift, Other","Other, Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,not specified
947,North America,,Software Development,3,mid
948,North America,,"Mobile Development, Other",,not specified
949,Asia,,,2,mid
950,Asia,"Perl, C++, Python, Other",Other,,not specified
951,North America,"C++, Other",Networking,,not specified
952,Asia,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
953,Asia,"Python, Perl, Other, Java","Web Development, Data Analytics, DevOps, Other",,not specified
954,Asia,"Python, Perl, Other, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
955,Asia,Python,"Networking, Other",5,senior
956,North America,"JavaScript, Scala, Java, Python, Go","Web Development, Software Development, Database Management, Other",,mid
957,North America,"Swift, C++, Python, Other","Other, Software Development, Mobile Development",,not specified
958,Asia,,"Software Development, Other",,not specified
959,North America,"C++, C#","Web Development, Database Management, AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
960,North America,"Python, Other","Software Development, Other",,not specified
961,Europe,,,,not specified
962,North America,"C++, Other","Internet of Things (IoT), Networking, Other",3,mid
963,North America,Java,"Web Development, Software Development",,senior
964,North America,"Python, Other","Software Development, Other",,not specified
965,North America,"C++, Other",Other,,not specified
966,North America,"Swift, Other","Software Development, Database Management, Other",3,mid
967,Asia,,Other,,not specified
968,North America,"C++, Other","Software Development, Other",,not specified
969,North America,,"Software Development, Mobile Development, Other",,not specified
970,North America,Python,"DevOps, Software Development, Mobile Development, Other",2,mid
971,North America,"Swift, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
972,North America,"Perl, C++, Python, Other",Other,5,senior
973,North America,,Other,,not specified
974,Europe,,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
975,North America,"Perl, C++, Python, Other",Networking,,not specified
976,North America,"JavaScript, Other",Web Development,,not specified
977,North America,"C++, Other","Other, Mobile Development",,not specified
978,North America,,"Software Development, Other",8,senior
979,North America,,Other,8,senior
980,North America,"Python, Shell","DevOps, Software Development, Mobile Development, Other",2,mid
981,Europe,"R, Python, Perl, C++, Other",Other,,not specified
982,North America,"R, Python, Perl, C++, Other",Other,,not specified
983,North America,Other,"Web Development, Software Development",,not specified
984,Asia,,,2,not specified
985,North America,"Python, Java",Other,7,senior
986,Europe,,"Other, Mobile Development",,not specified
987,North America,"C++, Other","Mobile Development, Software Development, Other",8,senior
988,North America,,Other,,not specified
989,North America,"C++, Other","Software Development, Mobile Development, Other",,mid
990,North America,"Python, Shell, Perl","Software Development, Other",,not specified
991,North America,"PHP, Perl, Shell, Python, Other","Data Analytics, Database Management, Software Development, Web Development, Other",5,senior
992,Europe,"Python, Scala, Java","Other, Cloud Computing, Software Development, DevOps",,senior
993,Asia,,,8,senior
994,North America,"Python, C++, Other",Other,,not specified
995,North America,"Ruby, Python","Web Development, Software Development, Database Management, Other",,not specified
996,North America,,Other,8,senior
997,North America,"Python, Shell, Perl, C++","Data Analytics, Other",,not specified
998,North America,"Python, C++","Data Analytics, Other",5,senior
999,Asia,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1000,Asia,"Python, C++","Software Development, Other",,mid
1001,North America,"JavaScript, Swift, Other","Other, Mobile Development",,not specified
1002,Europe,C++,"Software Development, Other",,not specified
1003,North America,Other,Other,,senior
1004,North America,,"Networking, Other",5,senior
1005,North America,,Other,5,senior
1006,North America,Other,"Data Analytics, Software Development",5,senior
1007,North America,"Python, Swift, Other, Java","Web Development, DevOps, Database Management, Other",5,senior
1008,North America,Other,"Mobile Development, Other",,not specified
1009,North America,,"Web Development, Data Analytics",,not specified
1010,Asia,"Java, Python, Shell, Perl, Ruby",Software Development,5,senior
1011,North America,"Perl, Other",Other,,senior
1012,North America,"C++, Other","Software Development, Other",5,senior
1013,North America,"C++, Other","Web Development, Software Development, Mobile Development",6,senior
1014,North America,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Mobile Development",2,mid
1015,North America,"C++, Other","Web Development, Software Development, Other",,senior
1016,North America,,"Web Development, Software Development",,not specified
1017,North America,Other,Mobile Development,5,senior
1018,Asia,,,6,senior
1019,North America,,"Human-Computer Interaction, Other",,not specified
1020,Europe,,"Machine Learning/Artificial Intelligence, Other",,not specified
1021,North America,"PHP, Perl, Shell, Python, Other","Data Analytics, Database Management, Software Development, Web Development, Other",5,senior
1022,North America,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1023,North America,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1024,North America,"C++, Other","Internet of Things (IoT), Software Development, Other",3,not specified
1025,North America,Other,Other,,not specified
1026,North America,"Swift, C++, Other",,,not specified
1027,North America,"JavaScript, TypeScript, Other","Web Development, Other",4,mid
1028,North America,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1029,Asia,Python,Machine Learning/Artificial Intelligence,,senior
1030,North America,Python,"Software Development, Other",5,senior
1031,North America,,Other,,not specified
1032,North America,,"Software Development, Other",8,senior
1033,North America,"Python, C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1034,North America,"Swift, C++","Software Development, Other",,not specified
1035,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Rea",7,senior
1036,North America,"C++, Other","Mobile Development, Other",5,senior
1037,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Rea",7,senior
1038,North America,"Python, Other","Networking, Other",,not specified
1039,North America,"Python, Other",Other,,not specified
1040,North America,"Java, Python, Perl, C++, Other","Data Analytics, Software Development, Internet of Things (IoT), Networking, Other",5,senior
1041,North America,,"Networking, Other",,not specified
1042,North America,"Python, C++","Software Development, Other",,not specified
1043,North America,"Scala, Python, Java","Data Analytics, Database Management",,not specified
1044,North America,Python,"Mobile Development, Software Development, Networking, Other",,not specified
1045,North America,Other,"Software Development, Other",,not specified
1046,North America,"C++, Other","Mobile Development, Other",,not specified
1047,North America,,,3,mid
1048,North America,,"Software Development, Other",15,senior
1049,North America,"Python, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,mid
1050,North America,"Ruby, Python, Perl","Other, DevOps, Software Development, Mobile Development",,not specified
1051,North America,"Python, C++","Machine Learning/Artificial Intelligence, Other",,not specified
1052,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",5,senior
1053,North America,,"Data Analytics, Other",,not specified
1054,North America,"Python, C++, Perl",Other,7,senior
1055,North America,Shell,Software Development,2,not specified
1056,North America,Java,"Cloud Computing, Software Development, Other",,senior
1057,Asia,"Python, C++, Other",Other,,not specified
1058,North America,,"Data Analytics, Software Development, Other",7,senior
1059,North America,"C++, Other","Internet of Things (IoT), Software Development, Other",,mid
1060,North America,"C++, Other","Internet of Things (IoT), Networking, Other",8,senior
1061,North America,"C++, Other","Internet of Things (IoT), Mobile Development, Software Development, Other",,not specified
1062,Asia,,,10,senior
1063,North America,"Swift, Other",,,senior
1064,North America,,"Software Development, Other",,senior
1065,North America,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1066,Asia,,Other,7,senior
1067,North America,"JavaScript, Ruby, Other","Web Development, Software Development, Other",,not specified
1068,North America,"Perl, Other","Internet of Things (IoT), Other",,senior
1069,Asia,,"Internet of Things (IoT), Software Development",5,senior
1070,Europe,,"Other, Mobile Development",,not specified
1071,North America,"C++, Other","Networking, Other",8,senior
1072,North America,"Java, Python, Shell, Perl, Ruby","DevOps, Software Development",7,senior
1073,Asia,"Python, C++, Other",Other,,not specified
1074,North America,"Swift, Other","Mobile Development, Software Development, Other",5,senior
1075,North America,,,5,senior
1076,North America,"C++, Other","Web Development, Software Development, Networking",,not specified
1077,North America,"JavaScript, Ruby, Other",Other,3,mid
1078,North America,"C++, Other","Software Development, Networking",,not specified
1079,Asia,,"Networking, Other",5,not specified
1080,Asia,"C++, Other","Data Analytics, Other",5,senior
1081,North America,"C++, Other","Software Development, Other",,not specified
1082,North America,"Swift, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1083,North America,"C++, Other","Web Development, Software Development, Mobile Development",5,senior
1084,North America,"Swift, Java","Other, Software Development, Mobile Development",,not specified
1085,North America,"Swift, Other","DevOps, Software Development, Other",3,mid
1086,North America,"JavaScript, Python","Cloud Computing, Mobile Development, Machine Learning/Artificial Intelligence, Other",4,mid
1087,Europe,"C++, Other",Other,5,senior
1088,North America,"JavaScript, Python, Shell",Software Development,,not specified
1089,North America,,Other,,not specified
1090,Europe,Other,"Data Analytics, DevOps, Software Development, Other",,not specified
1091,North America,"JavaScript, Python, Swift, Ruby, C++, Other","Software Development, Other",3,mid
1092,North America,"Perl, C++, Python, Other","Other, Networking, Cybersecurity",,not specified
1093,Asia,"Python, Shell",Other,3,mid
1094,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1095,North America,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1096,North America,"C++, Java","Cloud Computing, Software Development, Other",8,senior
1097,Asia,,"Data Analytics, Other",,not specified
1098,North America,"Python, C++","DevOps, Software Development, Other",3,mid
1099,Asia,"Python, Other",,3,mid
1100,North America,"Java, Python, Perl, Ruby, Go","Web Development, Cloud Computing, DevOps, Other",,not specified
1101,North America,"C++, Other","Software Development, Other",,not specified
1102,North America,"Swift, Other","Other, Software Development, Mobile Development",,not specified
1103,North America,"Python, Shell, Perl, Other","Data Analytics, Software Development, Database Management, Other",,senior
1104,North America,"C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
1105,Asia,,Other,7,senior
1106,North America,,Other,10,senior
1107,North America,JavaScript,Web Development,,not specified
1108,North America,Python,"DevOps, Software Development, Other",6,senior
1109,North America,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",3,mid
1110,North America,Other,Other,3,mid
1111,North America,Other,Other,3,not specified
1112,North America,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1113,North America,,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
1114,North America,"Python, C++","Software Development, Other",,not specified
1115,North America,"C++, Other",Machine Learning/Artificial Intelligence,5,senior
1116,North America,C++,Other,,not specified
1117,North America,C++,"Software Development, Mobile Development, Other",,mid
1118,North America,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3,not specified
1119,North America,,"Machine Learning/Artificial Intelligence, Other",,not specified
1120,Asia,"Python, C++, Perl, Other","Data Analytics, Other",5,senior
1121,North America,"Python, C++","Machine Learning/Artificial Intelligence, Other",,not specified
1122,Asia,Other,Other,3,mid
1123,North America,,Other,5,senior
1124,North America,,,,not specified
1125,Asia,,"Other, Software Development, Mobile Development",7,senior
1126,North America,,"Networking, Other",,not specified
1127,North America,"Ruby, Perl, Go, Python","Data Analytics, DevOps, Database Management, Other",10,senior
1128,North America,"Python, Other",Other,,not specified
1129,Asia,"C++, Other","Software Development, Networking, Other",3,mid
1130,North America,"Python, Shell, Swift","Other, Software Development, Mobile Development",2,not specified
1131,North America,Python,Other,,not specified
1132,North America,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Cloud Computing, Software Development, Networking, Other",5,senior
1133,North America,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1134,Asia,"C++, Other","Software Development, Other",,senior
1135,North America,"JavaScript, Python, Go","Web Development, DevOps, Software Development, Other",,senior
1136,North America,Other,Data Analytics,,not specified
1137,North America,,"Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",,not specified
1138,North America,"Python, C++, Java","Data Analytics, Cloud Computing",3,not specified
1139,North America,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1140,North America,"C++, Other","Web Development, Software Development, Other",2,mid
1141,North America,"JavaScript, Perl, Python, Go, Other","DevOps, Cloud Computing, Cybersecurity, Networking, Other",5,senior
1142,North America,"JavaScript, Perl, Shell, Python, Ruby","Other, Software Development, Networking, Mobile Development",2,mid
1143,North America,,Other,3,mid
1144,North America,Python,"Data Analytics, Database Management",,not specified
1145,North America,,Web Development,,not specified
1146,Asia,"Python, C++, Other",Other,,not specified
1147,Asia,"Swift, C++, Other",Other,,not specified
1148,North America,"C++, Other","Software Development, Other",5,senior
1149,North America,"JavaScript, Other",Web Development,8,senior
1150,North America,"C++, Other","DevOps, Software Development",,not specified
1151,North America,"Swift, Other",Other,,not specified
1152,North America,"Ruby, Python, JavaScript","DevOps, Software Development",,not specified
1153,North America,,Machine Learning/Artificial Intelligence,,not specified
1154,North America,,"Internet of Things (IoT), Data Analytics, Other",10,senior
1155,North America,"C++, Java, Other","Mobile Development, Software Development, Internet of Things (IoT), Networking, Other",5,senior
1156,North America,,"Software Development, Other",5,senior
1157,Asia,Other,Other,,not specified
1158,North America,Python,"DevOps, Mobile Development, Software Development, Other",4,senior
1159,North America,Other,"Data Analytics, Other",,not specified
1160,North America,"C++, Other","Software Development, Other",,senior
1161,Asia,Python,"Data Analytics, Machine Learning/Artificial Intelligence",2,not specified
1162,North America,C++,"Data Analytics, Software Development, Other",,mid
1163,North America,,,5,senior
1164,North America,"C++, Other","Web Development, Software Development, Other",5,senior
1165,North America,"C++, Other",Other,5,senior
1166,North America,"C++, Other","Software Development, Networking",,not specified
1167,North America,,"Web Development, Other",,not specified
1168,North America,"C++, Other",Other,8,senior
1169,North America,,"Data Analytics, Database Management, Other",3,mid
1170,North America,"Python, Shell, Perl, Ruby, C++, Other","Web Development, DevOps, Software Development, Other",,senior
1171,North America,"Scala, R, Java, Python, Other","Data Analytics, Machine Learning/Artificial Intelligence, Networking, Other",5,senior
1172,North America,,"Data Analytics, Database Management, Other",3,mid
1173,North America,"Python, C++, Other",Other,1,not specified
1174,North America,"Python, C++, Other",Other,1,junior
1175,North America,"Scala, Python, Java","Web Development, Data Analytics, DevOps, Software Development",,not specified
1176,North America,"Swift, Other","Other, Software Development, Mobile Development",3,mid
1177,North America,"Python, C++, Perl, Other",Other,,not specified
1178,North America,"Python, C++","Cloud Computing, Data Analytics, Machine Learning/Artificial Intelligence, Other",3,senior
1179,North America,,Other,3,mid
1180,Asia,,"Mobile Development, Other",3,mid
1181,North America,"Ruby, Python, Java","DevOps, Cloud Computing, Software Development, Networking, Other",4,senior
1182,North America,,Other,,not specified
1183,North America,"Ruby, Python, Shell, Other","Cloud Computing, Mobile Development, Cybersecurity, Software Development, Web Development, Networkin",5,senior
1184,North America,,"Internet of Things (IoT), Networking, Other",5,senior
1185,North America,"Perl, Other",Other,2,not specified
1186,North America,"Python, Swift, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1187,North America,"Other, C++, Java","Machine Learning/Artificial Intelligence, Mobile Development, Other",3,mid
1188,North America,,"Software Development, Other",5,mid
1189,North America,"Go, C++, Python","DevOps, Software Development, Web Development, Networking, Other",5,senior
1190,North America,,Cybersecurity,,not specified
1191,North America,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development",,not specified
1192,Asia,,"Web Development, Software Development, Other",5,senior
1193,North America,,"Human-Computer Interaction, Internet of Things (IoT), Other",5,senior
1194,North America,,"Internet of Things (IoT), Data Analytics, Other",10,senior
1195,North America,,,5,senior
1196,North America,,,5,senior
1197,Asia,Other,Other,,not specified
1198,North America,,"Web Development, Other, Mobile Development",8,senior
1199,North America,Other,Other,,not specified
1200,North America,,"Networking, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",15,senior
1201,North America,"Python, Other",Data Analytics,3,mid
1202,North America,,"Networking, Mobile Development",,mid
1203,North America,,"Networking, Other",8,senior
1204,North America,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",3,not specified
1205,North America,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, N",,not specified
1206,North America,Other,Other,,not specified
1207,North America,"Perl, Shell, Python","Internet of Things (IoT), Other",5,senior
1208,North America,"Python, Shell, Perl","Other, Software Development, Networking, Mobile Development",3,not specified
1209,North America,"Python, Shell, Ruby, C++, Other","Web Development, Networking, Other",,not specified
1210,North America,"Python, Shell, Ruby, C++, Other","Web Development, Networking, Other",,not specified
1211,North America,,Other,7,senior
1212,North America,"Python, C++","Software Development, Other",5,senior
1213,North America,Other,Other,5,senior
1214,North America,"JavaScript, Swift, Other",Software Development,8,senior
1215,North America,"Python, Java","DevOps, Software Development, Other",4,mid
1216,Europe,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,junior
1217,Europe,"Python, Java","Machine Learning/Artificial Intelligence, Other",,senior
1218,North America,"Perl, Shell, Python, Ruby, Go","Data Analytics, DevOps, Database Management, Other",10,senior
1219,North America,"C++, Other","Software Development, Other",,not specified
1220,North America,,Other,,not specified
1221,North America,"JavaScript, Perl, Python, Ruby, Other","DevOps, Mobile Development, Other",5,senior
1222,North America,"C#, Java, Python, Perl, Other","Software Development, Other",2,mid
1223,North America,,"Software Development, Other",,not specified
1224,Europe,C++,Software Development,,not specified
1225,North America,"C++, Other","Software Development, Other",,not specified
1226,North America,,,,not specified
1227,North America,,,5,senior
1228,Europe,"Swift, Other","Mobile Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1229,North America,"Swift, C++, Other","Mobile Development, Other",,not specified
1230,North America,"JavaScript, Python, Perl, C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",5,senior
1231,Asia,,"Internet of Things (IoT), Cloud Computing, Software Development, Other",10,senior
1232,North America,Other,,,senior
1233,North America,"C++, Other","Software Development, Other",,not specified
1234,North America,,"Software Development, Other",5,senior
1235,North America,,Other,5,senior
1236,North America,,"Cybersecurity, Other",,not specified
1237,North America,"C++, Other","Software Development, Other",,not specified
1238,North America,"C++, Other","Human-Computer Interaction, Software Development",,not specified
1239,North America,"Python, C++","Machine Learning/Artificial Intelligence, Software Development, Other",3,mid
1240,North America,"Python, C++","Software Development, Other",3,mid
1241,North America,"Python, C++","Software Development, Other",3,senior
1242,North America,"Python, Perl, Java, Other","Data Analytics, Database Management",8,senior
1243,North America,,,10,senior
1244,North America,"C++, Other",,,senior
1245,North America,,"Cloud Computing, Networking, Other",3,not specified
1246,Asia,,Other,7,senior
1247,North America,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1248,North America,"Swift, C++, Other",,3,not specified
1249,North America,,"Data Analytics, Other",3,mid
1250,North America,"Python, Shell, Perl","Other, Software Development, Networking, Mobile Development",3,mid
1251,North America,"Python, C++, Other",Other,3,mid
