id,programming_languages,tools_and_technologies,years_experience_min,experience_level
862,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
863,"Ruby, Python, JavaScript, Other","Other, Cybersecurity",,not specified
864,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
865,"JavaScript, Python, Java, Other","Web Development, DevOps, Software Development, Other",4.0,mid
866,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
867,"JavaScript, Python, Go","Data Analytics, Database Management, Software Development, Web Development, Other",,senior
868,Shell,"Cloud Computing, DevOps, Other",5.0,senior
869,"Perl, Shell, Python, C++, Other",Other,,not specified
870,"Python, C++","Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,mid
871,C++,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
872,,"Web Development, Other",4.0,senior
873,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, Other",,senior
874,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development",,senior
875,"Python, Swift, C++, Other","Software Development, Other",,not specified
876,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
877,"C++, Java","Web Development, Data Analytics, Software Development, Other",,not specified
878,"C++, Java","Web Development, Data Analytics, Software Development, Other",,senior
879,"Swift, C++, Other",Machine Learning/Artificial Intelligence,,not specified
880,"JavaScript, Java, PHP, Other","Web Development, Other",3.0,mid
881,Shell,"Cloud Computing, DevOps, Other",5.0,mid
882,,"Data Analytics, Other",,not specified
883,"Python, C++, Other","Software Development, Other",,not specified
884,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",5.0,senior
885,"C++, Other","Software Development, Other",,not specified
886,"Python, C++, Perl, Java","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",5.0,senior
887,,"Data Analytics, Other",,not specified
888,"Java, Perl, Shell, Python, C++","Web Development, Other, Software Development, Mobile Development",5.0,senior
889,Other,"Software Development, Other",,not specified
890,"Python, Shell, Perl, C++","DevOps, Software Development, Networking, Other",,senior
891,,Networking,,senior
892,"Python, C++, Java","Data Analytics, Other",3.0,not specified
893,"C++, Other","Software Development, Other",3.0,not specified
894,"JavaScript, Other","Web Development, Other",,not specified
895,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
896,"C++, Other","Internet of Things (IoT), Cybersecurity, Other",,senior
897,"Swift, C++, Other","Web Development, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",5.0,senior
898,"JavaScript, Python, Ruby, C++, Other","DevOps, Software Development, Networking",,not specified
899,,Software Development,5.0,senior
900,"C++, Other","Software Development, Other",,not specified
901,"Python, C++, Other","Software Development, Other",,not specified
902,"Perl, Python, Ruby, C++, Other","Software Development, Other",5.0,senior
903,"Swift, C++, Python, Other",Other,,not specified
904,,,5.0,senior
905,,"Cloud Computing, Database Management, Other",5.0,senior
906,"C++, Other","Internet of Things (IoT), Other, Software Development, Cybersecurity",,senior
907,"C++, Other","Software Development, Other",,not specified
908,"JavaScript, Python","Web Development, DevOps, Software Development, Other",3.0,mid
909,"Python, Java","Database Management, Software Development, Networking, Other",,not specified
910,,"Mobile Development, Software Development, Human-Computer Interaction, Networking, Other",3.0,senior
911,"Python, C++, Other","Software Development, Other",5.0,senior
912,,,,not specified
913,"C++, Other","Cybersecurity, Other",3.0,not specified
914,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",3.0,not specified
915,,Other,5.0,senior
916,,Networking,5.0,senior
917,,"Networking, Other",,not specified
918,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,not specified
919,"Python, Perl, Other, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
920,"Python, C++, Other","Machine Learning/Artificial Intelligence, Other",3.0,not specified
921,"Swift, Other","Other, AR/VR (Augmented Reality/Virtual Reality), Mobile Development",,not specified
922,,"Software Development, Other",,senior
923,,"Software Development, Mobile Development",8.0,senior
924,Python,"Software Development, Other",,not specified
925,,"Human-Computer Interaction, Software Development",,senior
926,"C++, Other","Software Development, Other",,senior
927,"Perl, C++, Python, Other",Other,,not specified
928,,"Networking, Other",,not specified
929,Other,"Software Development, Other",,senior
930,,Networking,,senior
931,C++,Other,,not specified
932,"Perl, Python","Networking, Other",8.0,senior
933,,,,not specified
934,"C++, Other","Software Development, Other",3.0,mid
935,Other,Software Development,3.0,mid
936,"Swift, Other","Software Development, Other",2.0,senior
937,"Java, Perl, Shell, Python, C++","Web Development, Other, Software Development, Mobile Development",2.0,mid
938,"Swift, Other","Human-Computer Interaction, Other, Mobile Development",,not specified
939,"Scala, Java","Data Analytics, Database Management, Other",,not specified
940,"JavaScript, Python","Software Development, Other",3.0,mid
941,"Swift, Shell, Python, Other","DevOps, Software Development",2.0,mid
942,Other,Networking,,senior
943,,Machine Learning/Artificial Intelligence,,not specified
944,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
945,Other,"Software Development, Mobile Development",,not specified
946,"Swift, Other","Other, Machine Learning/Artificial Intelligence, Software Development, Mobile Development",,not specified
947,,Software Development,3.0,mid
948,,"Mobile Development, Other",,not specified
949,,,2.0,mid
950,"Perl, C++, Python, Other",Other,,not specified
951,"C++, Other",Networking,,not specified
952,"Python, Perl, Other, Java","Data Analytics, DevOps, Software Development, Web Development, Other",,senior
953,"Python, Perl, Other, Java","Web Development, Data Analytics, DevOps, Other",,not specified
954,"Python, Perl, Other, Java","Data Analytics, DevOps, Cloud Computing, Software Development, Web Development, Other",,not specified
955,Python,"Networking, Other",5.0,senior
956,"JavaScript, Scala, Java, Python, Go","Web Development, Software Development, Database Management, Other",,mid
957,"Swift, C++, Python, Other","Other, Software Development, Mobile Development",,not specified
958,,"Software Development, Other",,not specified
959,"C++, C#","Web Development, Database Management, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
960,"Python, Other","Software Development, Other",,not specified
961,,,,not specified
962,"C++, Other","Internet of Things (IoT), Networking, Other",3.0,mid
963,Java,"Web Development, Software Development",,senior
964,"Python, Other","Software Development, Other",,not specified
965,"C++, Other",Other,,not specified
966,"Swift, Other","Software Development, Database Management, Other",3.0,mid
967,,Other,,not specified
968,"C++, Other","Software Development, Other",,not specified
969,,"Software Development, Mobile Development, Other",,not specified
970,Python,"DevOps, Software Development, Mobile Development, Other",2.0,mid
971,"Swift, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
972,"Perl, C++, Python, Other",Other,5.0,senior
973,,Other,,not specified
974,,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
975,"Perl, C++, Python, Other",Networking,,not specified
976,"JavaScript, Other",Web Development,,not specified
977,"C++, Other","Other, Mobile Development",,not specified
978,,"Software Development, Other",8.0,senior
979,,Other,8.0,senior
980,"Python, Shell","DevOps, Software Development, Mobile Development, Other",2.0,mid
981,"R, Python, Perl, C++, Other",Other,,not specified
982,"R, Python, Perl, C++, Other",Other,,not specified
983,Other,"Web Development, Software Development",,not specified
984,,,2.0,not specified
985,"Python, Java",Other,7.0,senior
986,,"Other, Mobile Development",,not specified
987,"C++, Other","Mobile Development, Software Development, Other",8.0,senior
988,,Other,,not specified
989,"C++, Other","Software Development, Mobile Development, Other",,mid
990,"Python, Shell, Perl","Software Development, Other",,not specified
991,"PHP, Perl, Shell, Python, Other","Data Analytics, Database Management, Software Development, Web Development, Other",5.0,senior
992,"Python, Scala, Java","Other, Cloud Computing, Software Development, DevOps",,senior
993,,,8.0,senior
994,"Python, C++, Other",Other,,not specified
995,"Ruby, Python","Web Development, Software Development, Database Management, Other",,not specified
996,,Other,8.0,senior
997,"Python, Shell, Perl, C++","Data Analytics, Other",,not specified
998,"Python, C++","Data Analytics, Other",5.0,senior
999,"Python, C++, Other","Internet of Things (IoT), Other",,not specified
1000,"Python, C++","Software Development, Other",,mid
1001,"JavaScript, Swift, Other","Other, Mobile Development",,not specified
1002,C++,"Software Development, Other",,not specified
1003,Other,Other,,senior
1004,,"Networking, Other",5.0,senior
1005,,Other,5.0,senior
1006,Other,"Data Analytics, Software Development",5.0,senior
1007,"Python, Swift, Other, Java","Web Development, DevOps, Database Management, Other",5.0,senior
1008,Other,"Mobile Development, Other",,not specified
1009,,"Web Development, Data Analytics",,not specified
1010,"Java, Python, Shell, Perl, Ruby",Software Development,5.0,senior
1011,"Perl, Other",Other,,senior
1012,"C++, Other","Software Development, Other",5.0,senior
1013,"C++, Other","Web Development, Software Development, Mobile Development",6.0,senior
1014,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence, Software Development, Mobile Development",2.0,mid
1015,"C++, Other","Web Development, Software Development, Other",,senior
1016,,"Web Development, Software Development",,not specified
1017,Other,Mobile Development,5.0,senior
1018,,,6.0,senior
1019,,"Human-Computer Interaction, Other",,not specified
1020,,"Machine Learning/Artificial Intelligence, Other",,not specified
1021,"PHP, Perl, Shell, Python, Other","Data Analytics, Database Management, Software Development, Web Development, Other",5.0,senior
1022,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1023,"Python, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1024,"C++, Other","Internet of Things (IoT), Software Development, Other",3.0,not specified
1025,Other,Other,,not specified
1026,"Swift, C++, Other",,,not specified
1027,"JavaScript, TypeScript, Other","Web Development, Other",4.0,mid
1028,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1029,Python,Machine Learning/Artificial Intelligence,,senior
1030,Python,"Software Development, Other",5.0,senior
1031,,Other,,not specified
1032,,"Software Development, Other",8.0,senior
1033,"Python, C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1034,"Swift, C++","Software Development, Other",,not specified
1035,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",7.0,senior
1036,"C++, Other","Mobile Development, Other",5.0,senior
1037,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",7.0,senior
1038,"Python, Other","Networking, Other",,not specified
1039,"Python, Other",Other,,not specified
1040,"Java, Python, Perl, C++, Other","Data Analytics, Software Development, Internet of Things (IoT), Networking, Other",5.0,senior
1041,,"Networking, Other",,not specified
1042,"Python, C++","Software Development, Other",,not specified
1043,"Scala, Python, Java","Data Analytics, Database Management",,not specified
1044,Python,"Mobile Development, Software Development, Networking, Other",,not specified
1045,Other,"Software Development, Other",,not specified
1046,"C++, Other","Mobile Development, Other",,not specified
1047,,,3.0,mid
1048,,"Software Development, Other",15.0,senior
1049,"Python, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,mid
1050,"Ruby, Python, Perl","Other, DevOps, Software Development, Mobile Development",,not specified
1051,"Python, C++","Machine Learning/Artificial Intelligence, Other",,not specified
1052,,"Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
1053,,"Data Analytics, Other",,not specified
1054,"Python, C++, Perl",Other,7.0,senior
1055,Shell,Software Development,2.0,not specified
1056,Java,"Cloud Computing, Software Development, Other",,senior
1057,"Python, C++, Other",Other,,not specified
1058,,"Data Analytics, Software Development, Other",7.0,senior
1059,"C++, Other","Internet of Things (IoT), Software Development, Other",,mid
1060,"C++, Other","Internet of Things (IoT), Networking, Other",8.0,senior
1061,"C++, Other","Internet of Things (IoT), Mobile Development, Software Development, Other",,not specified
1062,,,10.0,senior
1063,"Swift, Other",,,senior
1064,,"Software Development, Other",,senior
1065,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1066,,Other,7.0,senior
1067,"JavaScript, Ruby, Other","Web Development, Software Development, Other",,not specified
1068,"Perl, Other","Internet of Things (IoT), Other",,senior
1069,,"Internet of Things (IoT), Software Development",5.0,senior
1070,,"Other, Mobile Development",,not specified
1071,"C++, Other","Networking, Other",8.0,senior
1072,"Java, Python, Shell, Perl, Ruby","DevOps, Software Development",7.0,senior
1073,"Python, C++, Other",Other,,not specified
1074,"Swift, Other","Mobile Development, Software Development, Other",5.0,senior
1075,,,5.0,senior
1076,"C++, Other","Web Development, Software Development, Networking",,not specified
1077,"JavaScript, Ruby, Other",Other,3.0,mid
1078,"C++, Other","Software Development, Networking",,not specified
1079,,"Networking, Other",5.0,not specified
1080,"C++, Other","Data Analytics, Other",5.0,senior
1081,"C++, Other","Software Development, Other",,not specified
1082,"Swift, C++, Python, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1083,"C++, Other","Web Development, Software Development, Mobile Development",5.0,senior
1084,"Swift, Java","Other, Software Development, Mobile Development",,not specified
1085,"Swift, Other","DevOps, Software Development, Other",3.0,mid
1086,"JavaScript, Python","Cloud Computing, Mobile Development, Machine Learning/Artificial Intelligence, Other",4.0,mid
1087,"C++, Other",Other,5.0,senior
1088,"JavaScript, Python, Shell",Software Development,,not specified
1089,,Other,,not specified
1090,Other,"Data Analytics, DevOps, Software Development, Other",,not specified
1091,"JavaScript, Python, Swift, Ruby, C++, Other","Software Development, Other",3.0,mid
1092,"Perl, C++, Python, Other","Other, Networking, Cybersecurity",,not specified
1093,"Python, Shell",Other,3.0,mid
1094,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1095,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1096,"C++, Java","Cloud Computing, Software Development, Other",8.0,senior
1097,,"Data Analytics, Other",,not specified
1098,"Python, C++","DevOps, Software Development, Other",3.0,mid
1099,"Python, Other",,3.0,mid
1100,"Java, Python, Perl, Ruby, Go","Web Development, Cloud Computing, DevOps, Other",,not specified
1101,"C++, Other","Software Development, Other",,not specified
1102,"Swift, Other","Other, Software Development, Mobile Development",,not specified
1103,"Python, Shell, Perl, Other","Data Analytics, Software Development, Database Management, Other",,senior
1104,"C++, Other","Internet of Things (IoT), Software Development, Other",,not specified
1105,,Other,7.0,senior
1106,,Other,10.0,senior
1107,JavaScript,Web Development,,not specified
1108,Python,"DevOps, Software Development, Other",6.0,senior
1109,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,mid
1110,Other,Other,3.0,mid
1111,Other,Other,3.0,not specified
1112,"Python, C++, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1113,,"Machine Learning/Artificial Intelligence, Software Development, Other",,not specified
1114,"Python, C++","Software Development, Other",,not specified
1115,"C++, Other",Machine Learning/Artificial Intelligence,5.0,senior
1116,C++,Other,,not specified
1117,C++,"Software Development, Mobile Development, Other",,mid
1118,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",3.0,not specified
1119,,"Machine Learning/Artificial Intelligence, Other",,not specified
1120,"Python, C++, Perl, Other","Data Analytics, Other",5.0,senior
1121,"Python, C++","Machine Learning/Artificial Intelligence, Other",,not specified
1122,Other,Other,3.0,mid
1123,,Other,5.0,senior
1124,,,,not specified
1125,,"Other, Software Development, Mobile Development",7.0,senior
1126,,"Networking, Other",,not specified
1127,"Ruby, Perl, Go, Python","Data Analytics, DevOps, Database Management, Other",10.0,senior
1128,"Python, Other",Other,,not specified
1129,"C++, Other","Software Development, Networking, Other",3.0,mid
1130,"Python, Shell, Swift","Other, Software Development, Mobile Development",2.0,not specified
1131,Python,Other,,not specified
1132,"Ruby, Perl, Shell, Python","Data Analytics, DevOps, Cloud Computing, Software Development, Networking, Other",5.0,senior
1133,C++,"AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1134,"C++, Other","Software Development, Other",,senior
1135,"JavaScript, Python, Go","Web Development, DevOps, Software Development, Other",,senior
1136,Other,Data Analytics,,not specified
1137,,"Data Analytics, Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality)",,not specified
1138,"Python, C++, Java","Data Analytics, Cloud Computing",3.0,not specified
1139,"Java, Python, Shell, Perl, Ruby","DevOps, Other",,not specified
1140,"C++, Other","Web Development, Software Development, Other",2.0,mid
1141,"JavaScript, Perl, Python, Go, Other","DevOps, Cloud Computing, Cybersecurity, Networking, Other",5.0,senior
1142,"JavaScript, Perl, Shell, Python, Ruby","Other, Software Development, Networking, Mobile Development",2.0,mid
1143,,Other,3.0,mid
1144,Python,"Data Analytics, Database Management",,not specified
1145,,Web Development,,not specified
1146,"Python, C++, Other",Other,,not specified
1147,"Swift, C++, Other",Other,,not specified
1148,"C++, Other","Software Development, Other",5.0,senior
1149,"JavaScript, Other",Web Development,8.0,senior
1150,"C++, Other","DevOps, Software Development",,not specified
1151,"Swift, Other",Other,,not specified
1152,"Ruby, Python, JavaScript","DevOps, Software Development",,not specified
1153,,Machine Learning/Artificial Intelligence,,not specified
1154,,"Internet of Things (IoT), Data Analytics, Other",10.0,senior
1155,"C++, Java, Other","Mobile Development, Software Development, Internet of Things (IoT), Networking, Other",5.0,senior
1156,,"Software Development, Other",5.0,senior
1157,Other,Other,,not specified
1158,Python,"DevOps, Mobile Development, Software Development, Other",4.0,senior
1159,Other,"Data Analytics, Other",,not specified
1160,"C++, Other","Software Development, Other",,senior
1161,Python,"Data Analytics, Machine Learning/Artificial Intelligence",2.0,not specified
1162,C++,"Data Analytics, Software Development, Other",,mid
1163,,,5.0,senior
1164,"C++, Other","Web Development, Software Development, Other",5.0,senior
1165,"C++, Other",Other,5.0,senior
1166,"C++, Other","Software Development, Networking",,not specified
1167,,"Web Development, Other",,not specified
1168,"C++, Other",Other,8.0,senior
1169,,"Data Analytics, Database Management, Other",3.0,mid
1170,"Python, Shell, Perl, Ruby, C++, Other","Web Development, DevOps, Software Development, Other",,senior
1171,"Scala, R, Java, Python, Other","Data Analytics, Machine Learning/Artificial Intelligence, Networking, Other",5.0,senior
1172,,"Data Analytics, Database Management, Other",3.0,mid
1173,"Python, C++, Other",Other,1.0,not specified
1174,"Python, C++, Other",Other,1.0,junior
1175,"Scala, Python, Java","Web Development, Data Analytics, DevOps, Software Development",,not specified
1176,"Swift, Other","Other, Software Development, Mobile Development",3.0,mid
1177,"Python, C++, Perl, Other",Other,,not specified
1178,"Python, C++","Cloud Computing, Data Analytics, Machine Learning/Artificial Intelligence, Other",3.0,senior
1179,,Other,3.0,mid
1180,,"Mobile Development, Other",3.0,mid
1181,"Ruby, Python, Java","DevOps, Cloud Computing, Software Development, Networking, Other",4.0,senior
1182,,Other,,not specified
1183,"Ruby, Python, Shell, Other","Cloud Computing, Mobile Development, Cybersecurity, Software Development, Web Development, Networking, Other",5.0,senior
1184,,"Internet of Things (IoT), Networking, Other",5.0,senior
1185,"Perl, Other",Other,2.0,not specified
1186,"Python, Swift, Java","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1187,"Other, C++, Java","Machine Learning/Artificial Intelligence, Mobile Development, Other",3.0,mid
1188,,"Software Development, Other",5.0,mid
1189,"Go, C++, Python","DevOps, Software Development, Web Development, Networking, Other",5.0,senior
1190,,Cybersecurity,,not specified
1191,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development",,not specified
1192,,"Web Development, Software Development, Other",5.0,senior
1193,,"Human-Computer Interaction, Internet of Things (IoT), Other",5.0,senior
1194,,"Internet of Things (IoT), Data Analytics, Other",10.0,senior
1195,,,5.0,senior
1196,,,5.0,senior
1197,Other,Other,,not specified
1198,,"Web Development, Other, Mobile Development",8.0,senior
1199,Other,Other,,not specified
1200,,"Networking, Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",15.0,senior
1201,"Python, Other",Data Analytics,3.0,mid
1202,,"Networking, Mobile Development",,mid
1203,,"Networking, Other",8.0,senior
1204,"C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",3.0,not specified
1205,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Cybersecurity, Software Development, Web Development, Networking, Other",,not specified
1206,Other,Other,,not specified
1207,"Perl, Shell, Python","Internet of Things (IoT), Other",5.0,senior
1208,"Python, Shell, Perl","Other, Software Development, Networking, Mobile Development",3.0,not specified
1209,"Python, Shell, Ruby, C++, Other","Web Development, Networking, Other",,not specified
1210,"Python, Shell, Ruby, C++, Other","Web Development, Networking, Other",,not specified
1211,,Other,7.0,senior
1212,"Python, C++","Software Development, Other",5.0,senior
1213,Other,Other,5.0,senior
1214,"JavaScript, Swift, Other",Software Development,8.0,senior
1215,"Python, Java","DevOps, Software Development, Other",4.0,mid
1216,"C++, Other","AR/VR (Augmented Reality/Virtual Reality), Other",,junior
1217,"Python, Java","Machine Learning/Artificial Intelligence, Other",,senior
1218,"Perl, Shell, Python, Ruby, Go","Data Analytics, DevOps, Database Management, Other",10.0,senior
1219,"C++, Other","Software Development, Other",,not specified
1220,,Other,,not specified
1221,"JavaScript, Perl, Python, Ruby, Other","DevOps, Mobile Development, Other",5.0,senior
1222,"C#, Java, Python, Perl, Other","Software Development, Other",2.0,mid
1223,,"Software Development, Other",,not specified
1224,C++,Software Development,,not specified
1225,"C++, Other","Software Development, Other",,not specified
1226,,,,not specified
1227,,,5.0,senior
1228,"Swift, Other","Mobile Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1229,"Swift, C++, Other","Mobile Development, Other",,not specified
1230,"JavaScript, Python, Perl, C++, Other","Machine Learning/Artificial Intelligence, Software Development, Other",5.0,senior
1231,,"Internet of Things (IoT), Cloud Computing, Software Development, Other",10.0,senior
1232,Other,,,senior
1233,"C++, Other","Software Development, Other",,not specified
1234,,"Software Development, Other",5.0,senior
1235,,Other,5.0,senior
1236,,"Cybersecurity, Other",,not specified
1237,"C++, Other","Software Development, Other",,not specified
1238,"C++, Other","Human-Computer Interaction, Software Development",,not specified
1239,"Python, C++","Machine Learning/Artificial Intelligence, Software Development, Other",3.0,mid
1240,"Python, C++","Software Development, Other",3.0,mid
1241,"Python, C++","Software Development, Other",3.0,senior
1242,"Python, Perl, Java, Other","Data Analytics, Database Management",8.0,senior
1243,,,10.0,senior
1244,"C++, Other",,,senior
1245,,"Cloud Computing, Networking, Other",3.0,not specified
1246,,Other,7.0,senior
1247,"Swift, Other","Data Analytics, Machine Learning/Artificial Intelligence, Other",,not specified
1248,"Swift, C++, Other",,3.0,not specified
1249,,"Data Analytics, Other",3.0,mid
1250,"Python, Shell, Perl","Other, Software Development, Networking, Mobile Development",3.0,mid
1251,"Python, C++, Other",Other,3.0,mid
1252,,"Other, Mobile Development",,not specified
1253,"Python, C++","Software Development, Database Management, Other",5.0,senior
1254,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,not specified
1255,,"Cloud Computing, Other",,senior
1256,"Java, Python, Perl, Ruby, Go","DevOps, Cloud Computing, Software Development, Web Development, Other",,senior
1257,Python,Other,,junior
1258,"Python, Shell, Perl, Other","Data Analytics, Software Development, Database Management, Other",5.0,senior
1259,,Other,,not specified
1260,"C++, Other","Software Development, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1261,"JavaScript, Python, Java","Other, Data Analytics, Mobile Development, Cybersecurity",,not specified
1262,"Ruby, Python, JavaScript",DevOps,,not specified
1263,"JavaScript, Other",Web Development,3.0,mid
1264,Other,Other,4.0,senior
1265,"Python, Swift, Other, Java","Software Development, Other",6.0,senior
1266,"Python, Shell","Data Analytics, DevOps, Database Management, Cloud Computing, Networking, Other",5.0,senior
1267,,"Machine Learning/Artificial Intelligence, Software Development, Other",10.0,senior
1268,"Python, Java","Database Management, Software Development, Networking, Other",,not specified
1269,,Other,7.0,senior
1270,,Other,7.0,senior
1271,"Shell, Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1272,"C++, Other","Web Development, Software Development, Networking, Other",3.0,mid
1273,,,10.0,senior
1274,"Ruby, Python, Go, JavaScript","Web Development, Cloud Computing, Database Management, Other",,senior
1275,"Ruby, Python, Go, JavaScript","Web Development, Software Development, Database Management, Other",,senior
1276,"Shell, Other","DevOps, Web Development, Internet of Things (IoT), Networking, Other",,not specified
1277,Other,Cybersecurity,5.0,senior
1278,"JavaScript, PHP, Python, Shell, Perl, Ruby","Software Development, Other",2.0,mid
1279,,"Networking, Other",,not specified
1280,"C++, Other","Machine Learning/Artificial Intelligence, Other",,mid
1281,"C++, Other","Machine Learning/Artificial Intelligence, Other",,not specified
1282,"Swift, C++, Other","Other, Cloud Computing, Software Development, Mobile Development",,not specified
1283,"C++, Other","Software Development, Networking, Other",,not specified
1284,,Other,,not specified
1285,Other,"Data Analytics, Cloud Computing, Database Management, Other",5.0,senior
1286,"Java, Python, Perl, Ruby, Other","Cloud Computing, DevOps, Networking, Other",,senior
1287,,"Internet of Things (IoT), Other",10.0,senior
1288,,"Data Analytics, Other",10.0,senior
1289,"Python, R","Data Analytics, Machine Learning/Artificial Intelligence, Database Management, Other",3.0,mid
1290,"Swift, Other","Cloud Computing, Software Development",,mid
1291,"C++, Other","Web Development, Software Development, Other",5.0,not specified
1292,"C++, Other","Software Development, Other",,not specified
1293,,Other,5.0,senior
1294,,"Cybersecurity, Cloud Computing, Networking, Other",5.0,senior
1295,,"Software Development, Networking, Other",7.0,senior
1296,,,,not specified
1297,,Other,10.0,senior
1298,"C++, Other","DevOps, Software Development, Networking, Other",,senior
1299,"Python, Other",Other,,mid
1300,Other,"Mobile Development, Other",,not specified
1301,"JavaScript, Python, Java","Software Development, Other",3.0,mid
1302,,"Other, Cybersecurity",7.0,senior
1303,,"Human-Computer Interaction, Software Development, Other",,not specified
1304,"JavaScript, Other, Java","Data Analytics, DevOps, Database Management, Software Development, Web Development, Other",,mid
1305,"Python, C++, Java",Cloud Computing,,not specified
1306,"Perl, Other","Web Development, Other",,not specified
1307,"Python, Other",Other,,not specified
1308,Other,Other,8.0,senior
1309,Other,Other,8.0,senior
1310,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Mobile Development, Software Development, Other",,not specified
1311,"Perl, C++, Python, Other",Other,,not specified
1312,"Swift, Other","Other, Software Development, Mobile Development",5.0,senior
1313,"Shell, Other, C++, Java","Data Analytics, Machine Learning/Artificial Intelligence",,not specified
1314,"JavaScript, Python, C++, Other","Other, Software Development, Mobile Development",,not specified
1315,Other,"Software Development, Mobile Development",,not specified
1316,Other,"DevOps, Database Management, Mobile Development, Software Development, Web Development, Other",3.0,senior
1317,Other,"Web Development, DevOps, Database Management, Other",3.0,mid
1318,,,,not specified
1319,"C++, Other","Internet of Things (IoT), Software Development, Networking, Other",4.0,mid
1320,"Perl, Other","Web Development, Other",,senior
1321,"Python, Shell, Perl","DevOps, Software Development, Other",,not specified
1322,"Python, C++, Scala, Java",Machine Learning/Artificial Intelligence,,not specified
1323,,Software Development,,not specified
1324,"Perl, C++, Python, Other","Software Development, Other",,not specified
1325,Python,Other,6.0,senior
1326,,"Human-Computer Interaction, Software Development, Networking, Other",5.0,senior
1327,"Swift, Other","Human-Computer Interaction, Mobile Development",2.0,senior
1328,"Python, Java, PHP, Other","DevOps, Other",,senior
1329,Other,"Data Analytics, Software Development, Other",,not specified
1330,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1331,"C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, AR/VR (Augmented Reality/Virtual Reality), Other",,not specified
1332,"C++, Other","Machine Learning/Artificial Intelligence, AR/VR (Augmented Reality/Virtual Reality), Other",,senior
1333,"Python, C++, Other","Machine Learning/Artificial Intelligence, Mobile Development, Other",3.0,senior
1334,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,mid
1335,"Python, C++, Other","Mobile Development, Other",5.0,senior
1336,"Java, Python, Perl, Ruby, Other","DevOps, Cloud Computing, Software Development, Networking, Other",,mid
